module,F,p,fdr
pink,2.670777281666889,0.0457575299583061,0.09301032304126429
black,1.490980762018134,0.2147165088605704,0.29279523935532326
brown,3.9950893803768253,0.007433796380202998,0.02787673642576124
red,2.721986439046283,0.042703499474381484,0.09301032304126429
tan,3.755435134682038,0.010369667570134898,0.031109002710404697
turquoise,4.676355401796724,0.0028658544726673945,0.014329272363336972
midnightblue,2.5254289065294167,0.0556303808565249,0.09301032304126429
blue,5.355396570055642,0.0010990956382168717,0.010549203523317853
magenta,2.4180321912906657,0.06422505527142086,0.09633758290713129
cyan,1.3719196774783273,0.2492325024706029,0.31154062808825367
purple,0.9286981516135988,0.4257941360029801,0.4562080028603358
salmon,2.5230749660492915,0.05580619382475857,0.09301032304126429
greenyellow,5.181113018275588,0.0014065604697757136,0.010549203523317853
green,0.8336866709662469,0.47509954573503393,0.47509954573503393
yellow,1.0179640162710764,0.38339048835872125,0.4423736404139091
