module,contrast,logFC,p,fdr
pink,Disease,-0.0658356532508398,0.5329401893687257,0.7347040677998125
black,Disease,-0.041663617653138176,0.693086849417476,0.7425930529472957
brown,Disease,0.11196426582655847,0.28925629048913737,0.5806756657680758
red,Disease,-0.04712548792990556,0.6553139424830723,0.7425930529472957
tan,Disease,-0.22253463659386302,0.035681948441339345,0.5352292266200902
turquoise,Disease,-0.10219722519189545,0.33331437749263815,0.5806756657680758
midnightblue,Disease,-0.09904750414971066,0.3484053994608455,0.5806756657680758
blue,Disease,0.10644796188547204,0.31363080697462165,0.5806756657680758
magenta,Disease,0.12840867299209902,0.22434922619016137,0.5806756657680758
cyan,Disease,0.012606240864195373,0.90493469709588,0.90493469709588
purple,Disease,0.14175799089586655,0.17992073997192298,0.5806756657680758
salmon,Disease,-0.04938744219126914,0.6399199253616601,0.7425930529472957
greenyellow,Disease,0.1615918402674394,0.12652789346358426,0.5806756657680758
green,Disease,0.10642819185754454,0.3137205380490233,0.5806756657680758
yellow,Disease,0.06489854141403374,0.5387829830531958,0.7347040677998125
pink,Transplant,0.07484192551346436,0.4784768022443262,0.5126537166903495
black,Transplant,-0.09679888153155655,0.3594418605909363,0.4901479917149131
brown,Transplant,-0.23160489624529002,0.02885345781886355,0.09225951649245714
red,Transplant,-0.2782407193580704,0.0087684162233863,0.06576312167539725
tan,Transplant,0.12000982395511217,0.25606187807024605,0.3840928171053691
turquoise,Transplant,0.22891006120008844,0.03075317216415238,0.09225951649245714
midnightblue,Transplant,-0.04756940815846908,0.6522808856602919,0.6522808856602919
blue,Transplant,-0.25515202440671025,0.01614400308284999,0.08072001541424996
magenta,Transplant,-0.08215595174659765,0.4365974734179092,0.5037663154822029
cyan,Transplant,0.1590726943085471,0.13252763848055754,0.2803955727201546
purple,Transplant,0.08446056447425002,0.4238547199407231,0.5037663154822029
salmon,Transplant,0.22059531777005323,0.03730957210159258,0.09327393025398145
greenyellow,Transplant,0.3589478872191163,7.557291120358135e-4,0.011335936680537203
green,Transplant,0.15237972958468776,0.14954430545074912,0.2803955727201546
yellow,Transplant,0.14327118352527848,0.1753315433703333,0.2922192389505555
pink,Rescue,-0.14610649531259262,0.1669698325834445,0.2938608011020918
black,Rescue,0.15946203282391164,0.13158616171314194,0.2819703465281613
brown,Rescue,-0.23550040225535143,0.0262871503729248,0.09857681389846801
red,Rescue,-0.09897330142176745,0.34876610467992253,0.4755901427453489
tan,Rescue,0.13376274701505883,0.20566574854140088,0.30849862281210133
turquoise,Rescue,0.3098776817389445,0.0035570409471181058,0.026677807103385794
