module,contrast,logFC,p,fdr
midnightblue,Rescue,-0.17261507253031028,0.10273815252018666,0.25684538130046664
blue,Rescue,-0.32048255674395,0.002584466282722923,0.026677807103385794
magenta,Rescue,-0.2671221451809447,0.0118244006676167,0.0591220033380835
cyan,Rescue,0.1429439434481629,0.17631648066125505,0.2938608011020918
purple,Rescue,0.01790026646782171,0.8653381696994761,0.8653381696994761
salmon,Rescue,0.07453172179204809,0.48030047597720193,0.5541928568967714
greenyellow,Rescue,0.18243814873273606,0.08468407421740803,0.2540522226522241
green,Rescue,-0.0676268709652068,0.5218624780700375,0.5591383693607545
yellow,Rescue,-0.08995570402020822,0.39436745862545186,0.4929593232818148
pink,DiseaseAfter,-0.28678407407689677,0.006924109063555498,0.10386163595333248
black,DiseaseAfter,0.21459729670233002,0.04275125258359438,0.18246440854061582
brown,DiseaseAfter,0.10806875981649705,0.30633215370191963,0.5105535895031994
red,DiseaseAfter,0.13214193000639737,0.21119772332304337,0.4525665499779501
tan,DiseaseAfter,-0.20878171353391636,0.04865717561083089,0.18246440854061582
turquoise,DiseaseAfter,-0.02122960465303944,0.8406029416886621,0.9510101782347772
midnightblue,DiseaseAfter,-0.22409316852155187,0.034418389336701376,0.18246440854061582
blue,DiseaseAfter,0.04111742954823225,0.6969086310272568,0.8711357887840709
magenta,DiseaseAfter,-0.05655752044224804,0.5921678696845339,0.8075016404789098
cyan,DiseaseAfter,-0.0035225099961887774,0.9733777795187479,0.9733777795187479
purple,DiseaseAfter,0.07519769288943823,0.4763899513961659,0.7145849270942488
salmon,DiseaseAfter,-0.19545103816927428,0.06482895352428145,0.19448686057284434
greenyellow,DiseaseAfter,-0.014917898218940823,0.8876094996857921,0.9510101782347772
green,DiseaseAfter,-0.11357840869235003,0.28237322896934175,0.5105535895031994
yellow,DiseaseAfter,-0.16832834613145298,0.11152581167219573,0.2788145291804893
pink,Recovery,-0.21194214856343244,0.04536748116846411,0.1495493739632911
black,Recovery,0.11779841517077345,0.2649087746912759,0.3612392382153762
brown,Recovery,-0.12353613642879296,0.24238518975480977,0.3612392382153762
red,Recovery,-0.146098789351673,0.16699214297461354,0.3131102680774004
tan,Recovery,-0.08877188957880419,0.40061221686709647,0.5007652710838706
turquoise,Recovery,0.207680456547049,0.04984979132109703,0.1495493739632911
midnightblue,Recovery,-0.2716625766800209,0.010477160769581106,0.0785787057718583
blue,Recovery,-0.21403459485847798,0.04329473773509015,0.1495493739632911
magenta,Recovery,-0.1387134721888457,0.18942494846795452,0.3157082474465909
cyan,Recovery,0.15555018431235829,0.14128548738512314,0.30275461582526386
purple,Recovery,0.15965825736368824,0.13111364119751515,0.30275461582526386
salmon,Recovery,0.02514427960077894,0.8117217802184075,0.8123618624412954
greenyellow,Recovery,0.34402998900017545,0.0012336431389057823,0.018504647083586734
green,Recovery,0.038801320892337746,0.7131998979761216,0.8123618624412954
yellow,Recovery,-0.025057162606174473,0.8123618624412954,0.8123618624412954
pink,Interaction,-0.22094842082605698,0.13955094594986772,0.5090768949217985
black,Interaction,0.25626091435546816,0.08680017222282539,0.5090768949217985
brown,Interaction,-0.003895506010061417,0.9791803993955926,0.9791803993955926
red,Interaction,0.17926741793630294,0.23033631263670776,0.5090768949217985
tan,Interaction,0.013752923059946659,0.9265932602014024,0.9791803993955926
turquoise,Interaction,0.080967620538856,0.5876263202789558,0.8271067753595807
midnightblue,Interaction,-0.1250456643718412,0.40247653915834647,0.6707942319305775
blue,Interaction,-0.06533053233723976,0.6616854202876645,0.8271067753595807
magenta,Interaction,-0.18496619343434706,0.21589107126697135,0.5090768949217985
cyan,Interaction,-0.016128750860384164,0.9139580580935349,0.9791803993955926
purple,Interaction,-0.06656029800642829,0.6557260379874449,0.8271067753595807
salmon,Interaction,-0.14606359597800514,0.32821400119503064,0.6154012522406824
greenyellow,Interaction,-0.1765097384863802,0.23756921763017266,0.5090768949217985
green,Interaction,-0.22000660054989457,0.14123968942364934,0.5090768949217985
yellow,Interaction,-0.2332268875454867,0.11893795167244624,0.5090768949217985
