uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P06685,0.038363882162059326,-0.04076329407806996,0.11749105840218861,26.381187985834547,1.0051861842471952,-5.681332429360773,0.3256789259975639,0.5702331556060862,0,0,0.9578747380983039,0,PHEvPHE_MITO,Atp1a1,AT1A1_RAT,Sodium/potassium-transporting ATPase subunit alpha-1
P06760,0.1858983338543112,-0.04469624090984656,0.416492908618469,22.12059300984494,1.6713832367727324,-4.862235379109302,0.10873733615909567,0.32029845397759965,0,0,0.6620097777172901,0,PHEvPHE_MITO,Gusb,BGLR_RAT,Beta-glucuronidase
P06761,0.007529156034681961,-0.07403484886925188,0.0890931609386158,29.841309297308456,0.19138036810709258,-6.1569813551956925,0.8499737064486731,0.9239931312355402,0,0,0.9987768853290347,0,PHEvPHE_MITO,Hspa5,BIP_RAT,Endoplasmic reticulum chaperone BiP
P06762,0.15921990984289636,-0.019282027002936852,0.33772184668872957,21.83640404817942,1.84928595352432,-4.58900889386125,0.07782751390032133,0.27649655561844594,1,0,0.665957204112514,0,PHEvPHE_MITO,Hmox1,HMOX1_RAT,Heme oxygenase 1
P06766,0.03714591218437491,-0.2716913243411785,0.3459831487099283,18.789805663797264,0.24936241772408502,-6.144222151319243,0.8053818055966226,0.8963921536521234,0,0,0.9919924154415692,0,PHEvPHE_MITO,Polb,DPOLB_RAT,DNA polymerase beta
P07092,0.3749770276273523,-0.16419995794765518,0.9141540132023598,18.17360414956789,1.44185950897554,-5.182876907457933,0.16335368018213473,0.39312858635720555,0,0,0.5069223300970559,0,PHEvPHE_MITO,Serpine2,GDN_RAT,Glia-derived nexin
P07150,0.21602272285225865,0.01781236789051205,0.41423307781400526,29.201886125878033,2.2595540096167563,-3.8872044397437677,0.034037100542635014,0.19541389577125184,1,0,0.48180177339782465,0,PHEvPHE_MITO,Anxa1,ANXA1_RAT,Annexin A1
P07153,0.0850314699411463,-0.0026009859716972505,0.17266392585398985,26.65145303656384,2.0117051784121163,-4.322401225528856,0.05659103535471029,0.23897046571347494,1,0,0.7833291683586369,0,PHEvPHE_MITO,Rpn1,RPN1_RAT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P07154,-0.05234637419581745,-0.21944482521412856,0.11475207682249366,23.18340074369596,-0.6494770530059025,-5.96626989168401,0.5227187712968244,0.7277480923674792,-0,-0,0.9666123871881384,0,PHEvPHE_MITO,Ctsl,CATL1_RAT,Procathepsin L
P07323,-0.05021011149045762,-0.13888357788832362,0.03846335490740836,26.456017737977735,-1.1739433220412314,-5.507121342625366,0.2529047851966935,0.4948942987195884,-0,-0,0.9333024518454521,0,PHEvPHE_MITO,Eno2,ENOG_RAT,Gamma-enolase
P07340,-0.05286172021555302,-0.2960732445286769,0.19034980409757082,22.939504487841294,-0.45061617020675576,-6.074160824487007,0.6566528142491836,0.8157081754290648,-0,-0,0.9780117143776116,0,PHEvPHE_MITO,Atp1b1,AT1B1_RAT,Sodium/potassium-transporting ATPase subunit beta-1
P07483,-0.35502811201454065,-0.8459447997023917,0.13588857567331042,21.230541455074924,-1.4993553641394088,-5.106107289874741,0.14792156259127978,0.3747554189845496,-0,-0,0.5073852588185875,0,PHEvPHE_MITO,Fabp3,FABPH_RAT,"Fatty acid-binding protein, heart"
P07632,-0.2575721757439027,-0.47549644266229407,-0.03964790882551125,29.43118112235054,-2.4504338486001416,-3.531364246863597,0.02263884302970699,0.16190815416781518,-1,-0,0.3769261114758289,0,PHEvPHE_MITO,Sod1,SODC_RAT,Superoxide dismutase [Cu-Zn]
P07633,0.26314533164702425,-0.03303182754212075,0.5593224908361693,17.31486580954405,1.842017435367462,-4.600568375831514,0.0789224632251125,0.27828419534841575,1,0,0.5126293816675275,0,PHEvPHE_MITO,Pccb,PCCB_RAT,"Propionyl-CoA carboxylase beta chain, mitochondrial"
P07687,0.26832695629785164,-0.05021900497164106,0.5868729175673444,21.9073113143413,1.7463923940970842,-4.749540704649399,0.09461933059943614,0.300507753810073,1,0,0.5311629761924768,0,PHEvPHE_MITO,Ephx1,HYEP_RAT,Epoxide hydrolase 1
P07861,0.20925673765176,-0.056623470704857515,0.4751369460083775,24.4299719109891,1.6317103562743174,-4.920310565652212,0.11689940921765075,0.3327801707392543,0,0,0.6381656828453001,0,PHEvPHE_MITO,Mme,NEP_RAT,Neprilysin
P07872,0.11491647492151458,-0.3270606544992763,0.5568936043423054,16.856198412377626,0.5390538208170276,-6.0308638265565016,0.5952350643967923,0.7757277461903561,0,0,0.9421238484727231,0,PHEvPHE_MITO,Acox1,ACOX1_RAT,Peroxisomal acyl-coenzyme A oxidase 1
