pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
KEGG_RNA_DEGRADATION,0.5562130177514792,0.8288770053475936,0.0728938564822936,-0.2835972832847597,-0.9220032418850405,22,Eno2;Lsm7;Parn;Hspd1;Mtrex;Cnot4;Hspa9;Pnpt1;Cnot2,KEGG,CTLvMITO
KEGG_SMALL_CELL_LUNG_CANCER,0.6804733727810651,0.8953597010277173,0.06293946920189672,0.24546104636627789,0.8471766802414171,28,Itga3;Ccnd1;Ptgs2,KEGG,CTLvMITO
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.8461538461538461,0.9516326174262266,0.05269730857084192,-0.2415948878175036,-0.7292241489807708,16,Vamp3;Stx7,KEGG,CTLvMITO
KEGG_SPLICEOSOME,0.5085714285714286,0.8288770053475936,0.07569463079327488,0.2605051611987697,0.9707075194538031,38,Ncbp2;Prpf31;Snrpd3;Hspa2;Tra2b;Prpf3;Ncbp1;U2af1;Cdc5l;Snrpa1;Hnrnpa3;Phf5a;Lsm4;Lsm2,KEGG,CTLvMITO
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.5636363636363636,0.8288770053475936,0.07343814108388569,0.3164264308497448,0.935039654383888,16,Ugdh;Hk2;Gusb;Gpi;Pgm1;Agl;Pgm2,KEGG,CTLvMITO
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.1827309236947791,0.49545408111145167,0.1446305280344838,-0.3944485485511605,-1.2126107255523388,18,Sp1;Cdkn2b;Tgfb2,KEGG,CTLvMITO
KEGG_TIGHT_JUNCTION,0.15384615384615385,0.46620046620046623,0.1552419662288392,0.3246780195428601,1.2482357659621304,44,Myh3;Actn4;Actn1;Myl11;Actb;Rras;Gnai2;Myh7;Ppp2cb;Cdk4;Src;Myh8;Cdc42;Gnai3;Myh9;Myh10;Csnk2a2;Pten,KEGG,CTLvMITO
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.9146825396825397,0.9713114754098361,0.04939101059815013,0.21008227725041242,0.6474490450085554,18,Rac1;Tbk1;Mapk14;Mapk1;Ikbkb,KEGG,CTLvMITO
KEGG_TRYPTOPHAN_METABOLISM,0.03454879255427245,0.2032281914957203,0.3217759180753611,0.5598912997138306,1.5850651353730372,14,Acat2;Aldh3a2;Aldh7a1;Echs1;Acat1;Hadha;Cat;Aldh9a1,KEGG,CTLvMITO
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.9713114754098361,0.9713114754098361,0.048118399265797474,-0.17565176087346993,-0.6115300965560376,30,Raf1;Grb2;Gsk3b;Pak3,KEGG,CTLvMITO
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.6328600405679513,0.8567567567567568,0.06783382634794552,-0.2659896456827387,-0.8889585366350398,25,Ube2i;Cdc34,KEGG,CTLvMITO
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.0031800566486272913,0.06360113297254583,0.4317076958033464,0.5347341617847974,1.8749415410750596,29,Dld;Hibch;Acadm;Acat2;Acads;Mccc1;Acadsb;Aldh3a2;Aldh7a1;Aldh6a1;Dbt,KEGG,CTLvMITO
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.05,0.25141334693022327,0.2878571172551493,-0.4742863158711609,-1.480263403507259,19,Mylk;Cald1;Araf;Raf1;Prkce;Avpr1a,KEGG,CTLvMITO
KEGG_VEGF_SIGNALING_PATHWAY,0.5099601593625498,0.8288770053475936,0.07788401119770678,0.3137443987292468,0.9749914429366345,19,Ptgs2;Rac1;Mapk14;Mapk1;Src;Cdc42;Pla2g4a,KEGG,CTLvMITO
KEGG_VIBRIO_CHOLERAE_INFECTION,0.9434343434343434,0.9713114754098361,0.04879897016828393,0.19124529493114206,0.6098987868330612,21,Actb;Sec61a1;Atp6v1c1;Gnas;Ero1a,KEGG,CTLvMITO
KEGG_VIRAL_MYOCARDITIS,0.07326732673267326,0.31855359448988374,0.2343926472946861,0.43075689451950366,1.4177980872708291,24,Myh3;Sgcb;Ccnd1;Sgcd;Casp3;Rac1;Actb;Myh7;Myh8;Eif4g3;Cav1;Myh9;Myh10,KEGG,CTLvMITO
KEGG_WNT_SIGNALING_PATHWAY,0.3825242718446602,0.7881964667054941,0.09225972605273541,0.2939924765514561,1.0396573214042546,31,Ccnd1;Daam1;Cacybp;Ppp2r5b;Rac1;Ccnd3;Rbx1;Ppp2cb,KEGG,CTLvMITO
KEGG_ACUTE_MYELOID_LEUKEMIA,0.8585271317829457,0.8942990956072352,0.051218434854034045,0.22259318144594833,0.7140720557653002,20,Ccnd1;Nfkb1;Stat3;Pml,KEGG,PHEvPHE_MITO
KEGG_ADHERENS_JUNCTION,0.4091778202676864,0.7152655300803449,0.08756971155485113,0.2933249060620465,1.0322319290793676,28,Rac1;Baiap2;Actn1;Src;Actb,KEGG,PHEvPHE_MITO
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.0958904109589041,0.3306565895134624,0.20207170902115992,0.4371301504548592,1.374669926821137,19,Acsl3;Cpt1a;Nfkb1;Acsl1;Acsl5;Stat3,KEGG,PHEvPHE_MITO
