uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A0G2JUH4,Pnkp,-0.00455,0.02595,Nucleus
A0A0G2JUK2,Lsm14a,-0.01069,0.03015,Cytoskeleton
A0A0G2JUU7,Tubgcp3,0.00916,-0.0113,Cytoskeleton
A0A0G2JUY1,Nedd4l,0.01211,0.02195,Other
A0A0G2JV12,Col15a1,0.01011,0.00901,Other
A0A0G2JV24,Thbs1,-0.00876,-0.00281,Other
A0A0G2JV49,Ppp6r2,-0.00102,0.00771,Other
A0A0G2JVL6,Ndufa8,0.01235,-4e-5,Mitochondrion
A0A0G2JVP5,Paip1,0.01996,-0.00163,Other
A0A0G2JVT8,Samd9l,0.01461,-0.01089,Other
A0A0G2JW34,Cisd3,0.00692,-0.01187,Mitochondrion
A0A0G2JW94,Clint1,-0.02678,0.00949,Nucleus
A0A0G2JWA3,Xpo7,0.01943,0.01115,Nucleus
A0A0G2JWB6,Pxdn,-0.00976,0.01184,Other
A0A0G2JWG1,Man2a2,0.00772,0.00513,Other
A0A0G2JWH3,Ncapd2,0.00221,-0.00203,Nucleus
A0A0G2JWT6,Pex16,0.01379,0.0061,Nucleus
A0A0G2JWW8,Med30,-5.3e-4,0.00683,Nucleus
A0A0G2JWZ0;A0ABK0L886;D3ZS52,Tmem258;Tmem258b;Tmem258l4,-0.01315,-0.01268,Other
A0A0G2JX20,Katnb1,-0.01338,-0.02462,Cytoskeleton
A0A0G2JX25,Gmpr2,0.0105,0.03197,Other
A0A0G2JX46,Kcmf1,-0.02447,0.00293,Other
A0A0G2JXI6,Cyrib,-0.00993,0.00949,Mitochondrion
A0A0G2JXM5,Poldip3,0.00207,0.00288,Nucleus
A0A0G2JXN8,Osbpl8,-0.00173,-0.01585,Nucleus
A0A0G2JXT6,Mtmr6,-0.00573,-0.0225,Nucleus
A0A0G2JXT8,Flnb,-0.01959,-0.02488,Cytoskeleton
A0A0G2JXT9,Arhgef17,0.00719,-0.00592,Other
A0A0G2JXZ1,Cers5,-0.01101,0.02481,Nucleus
A0A0G2JY80,Tbl1x,0.0018600000000000001,5.3e-4,Cytoskeleton
A0A0G2JYE0,Atxn2l,-0.01064,-0.03018,Nucleus
A0A0G2JYF7,Ctnna2,-0.01812,-0.00799,Cytoskeleton
A0A0G2JYJ7,Rbms2,-0.01988,-0.01205,Other
A0A0G2JYN4,Ergic2,0.00417,-0.01776,Nucleus
A0A0G2JYR4,Lrba,-0.00415,0.00566,Nucleus
A0A0G2JYR5,Arhgap1,0.022,-0.01145,Nucleus
A0A0G2JYZ3,Fam3a,0.00677,-0.00878,Other
A0A0G2JZ38,Fhod1,-0.01449,-0.01481,Cytoskeleton
A0A0G2JZ48,Tmf1,-0.01531,0.00329,Other
A0A0G2JZ53,Birc6,-0.00834,-0.02156,Cytoskeleton
A0A0G2JZF6,Ndufaf2,-0.00944,-0.01177,Mitochondrion
A0A0G2JZH8,Pdhx,0.02221,-5e-5,Mitochondrion
A0A0G2JZH9,Dhx57,7.3e-4,0.00656,Other
A0A0G2JZJ1,Psmd14,0.01543,-0.01202,Other
A0A0G2JZR6,Gatad2b,-0.00868,0.01543,Nucleus
A0A0G2JZS1,Kpna6,0.02155,-0.01003,Nucleus
A0A0G2JZT9,Polr2l,0.00491,-0.01228,Other
A0A0G2JZY0,Lsm14b,-0.01102,-0.00438,Other
A0A0G2JZZ4,Selenom,5.2e-4,-0.03069,Nucleus
A0A0G2K059,Mcu,0.02662,0.00362,Mitochondrion
A0A0G2K0D3,Lmod1,-0.02144,-0.00127,Cytoskeleton
A0A0G2K0E0,Ddx56,0.00968,-0.0047,Nucleus
A0A0G2K0F4,Rassf8,0.01493,0.01471,Other
A0A0G2K0G9,Rin3,-7.2e-4,-0.024140000000000002,Other
A0A0G2K0J4,Nipbl,0.00603,-0.00822,Nucleus
A0A0G2K0J7,Ctdp1,-0.00977,-0.00873,Cytoskeleton
A0A0G2K0L0,Papss1,-0.01584,0.02025,Other
A0A0G2K0P1,Kifap3,0.01518,0.02125,Cytoskeleton
A0A0G2K0W3,Ttyh3,0.00326,0.00288,Other
A0A0G2K0Y2,Igf2bp3,-0.01655,-0.00719,Other
A0A0G2K162,Epb41l2,-0.02387,0.00953,Cytoskeleton
A0A0G2K189,Scrn3,-0.02007,-0.0157,Other
A0A0G2K1A1,Zfp706,-0.0077,0.00861,Other
A0A0G2K1B1,Zfp428,-0.01925,0.01999,Other
A0A0G2K1B6,Nfix,-0.00237,-0.008,Nucleus
A0A0G2K1D2,Rap1gds1,0.00657,-0.00977,Mitochondrion
A0A0G2K1K5,Trappc11,0.01076,0.01194,Other
A0A0G2K1L0,Tnc,-0.00188,-0.01347,Other
A0A0G2K1V3,Tsen15,-0.00254,0.0318,Nucleus
A0A0G2K1W9,Ldhd,-0.0117,0.00629,Mitochondrion
A0A0G2K254,Ndc80,-0.00948,0.00148,Cytoskeleton
A0A0G2K261,Iars2,-0.00587,-0.01781,Mitochondrion
A0A0G2K264,Dap3,0.01532,-0.00748,Mitochondrion
A0A0G2K2A7,Med11,0.00685,0.01238,Nucleus
A0A0G2K2C4,Ldb3,-0.02293,0.00755,Cytoskeleton
A0A0G2K2C7,Usp9x,0.02272,0.02038,Cytoskeleton
A0A0G2K2D4,Agap3,0.01089,-0.01581,Other
A0A0G2K2H0,Axl,-0.00275,0.01279,Other
A0A0G2K2N0,Ptpn14,-0.00124,8.6e-4,Other
A0A0G2K2P5,Tjp1,-0.02191,-0.01595,Cytoskeleton
A0A0G2K2Y9,Plxnb2,0.00106,-0.01449,Other
A0A0G2K2Z0,Eml4,-0.00626,0.00288,Cytoskeleton
A0A0G2K2Z5,Fmr1nb,0.00355,0.00427,Other
A0A0G2K302,Ap3s2,-0.0074,0.00876,Other
A0A0G2K315,Cep170,-0.02524,0.01125,Cytoskeleton
A0A0G2K351,Unc119b,0.00941,1.3e-4,Other
A0A0G2K3I6,Gapdhl2,0.01456,0.00236,Other
A0A0G2K3K5,B4galt5,0.01656,-0.01216,Other
A0A0G2K3L8,Wdfy1,0.01163,-0.01324,Other
A0A0G2K3L9,Ppfia1,-0.01965,-0.02511,Other
A0A0G2K3S4,Abca9,0.00898,-0.02746,Mitochondrion
A0A0G2K3W1,Vwa8,0.01258,-0.02012,Mitochondrion
A0A0G2K3W2,F5,0.01828,-0.00396,Other
A0A0G2K402,Myef2,-0.01059,-0.00239,Other
A0A0G2K435,Dnajc7,0.01221,-0.02131,Other
A0A0G2K437,Amfr,-0.01992,7.6e-4,Nucleus
A0A0G2K490,Tnik,-0.0182,0.01117,Other
A0A0G2K4A0,Rab11fip5,-0.01823,3.4e-4,Mitochondrion
A0A0G2K4C0,B4galt7,0.01602,0.0239,Other
A0A0G2K4R1,Ppp1r12c,0.00905,-0.02328,Cytoskeleton
A0A0G2K4Y6,Haus6,0.00969,0.00298,Cytoskeleton
A0A0G2K502,Me2,0.02027,-0.01489,Mitochondrion
A0A0G2K542,Ugp2,0.02295,0.01499,Other
A0A0G2K548,Akap9,-0.00517,-0.0112,Cytoskeleton
A0A0G2K583,Mtap,0.01102,-0.02721,Other
A0A0G2K598,Tacc2,-0.00876,0.01017,Cytoskeleton
A0A0G2K5D7,Specc1,-0.01503,-0.00272,Cytoskeleton
A0A0G2K5E4,Dnaja3,-0.00111,0.00422,Mitochondrion
A0A0G2K5L2,Slc25a22,0.01317,0.0042,Mitochondrion
A0A0G2K5L3,Riok1,-0.00159,-0.00658,Other
A0A0G2K612,Smurf1,0.02654,0.01066,Mitochondrion
A0A0G2K618,Large1,-0.01375,-0.0057,Other
A0A0G2K654,H1f2,-0.00488,0.00831,Other
A0A0G2K6D5,Pitrm1,0.0055,-0.02082,Mitochondrion
A0A0G2K6F1,Tcp11l1,0.01574,0.02344,Cytoskeleton
A0A0G2K6G7,Mcc,-0.01285,0.01093,Other
A0A0G2K6J6,Ipo8,0.02336,0.00888,Nucleus
A0A0G2K6R0,Tnrc6b,-0.00989,0.00821,Other
A0A0G2K6W6,Dis3l2,-0.00308,0.02648,Other
A0A0G2K712,Tbc1d5,8.2e-4,0.03258,Other
A0A0G2K7B6,Dysf,0.0126,-0.00652,Cytoskeleton
A0A0G2K7E7,Sec61gl2,-0.00929,-0.00239,Other
A0A0G2K7N9,Arhgap5,-0.00504,0.02948,Other
A0A0G2K7P4,Txnl4a,0.02309,-0.00971,Other
A0A0G2K7T0,Runx3,0.00702,0.00759,Nucleus
A0A0G2K7W5,Ahsa2,-0.00567,-0.00977,Other
A0A0G2K860,Arhgef12,-0.01311,-0.01499,Other
A0A0G2K899,Acyp1,9.5e-4,0.03111,Other
A0A0G2K8C1,Npnt,0.00936,5.3e-4,Other
A0A0G2K8D1,Mospd2,-0.00637,0.00897,Nucleus
A0A0G2K8F9,Pum2,-0.00801,-0.00263,Nucleus
A0A0G2K8J5,Ct47b1,-0.00866,-0.01732,Other
A0A0G2K8J8,Fam120b,-0.00829,0.01638,Other
A0A0G2K8N4,Col26a1,-0.01179,0.01583,Other
A0A0G2K8N6,Ankmy2,-0.00774,0.00631,Other
A0A0G2K8S0,Pdxdc1,-0.01601,-0.01959,Other
A0A0G2K8S8,Tigar,0.02523,-0.00419,Mitochondrion
A0A0G2K8V3,Thoc2,-8.1e-4,0.01263,Nucleus
A0A0G2K994,Vsig10,-0.00757,0.00339,Other
A0A0G2K9H9,Dnajb5,-0.00254,7.6e-4,Other
A0A0G2K9M5,Tbc1d8b,4.2e-4,-0.01934,Other
A0A0G2K9R9,Psme4,0.01208,-0.00131,Nucleus
A0A0G2K9T1,Itch,-0.01101,-0.02472,Mitochondrion
A0A0G2K9X2,Rapsn,0.01675,0.01337,Other
A0A0G2KAC0,Psat1,0.01219,-0.02292,Other
A0A0G2KAE2,Tusc3,-0.00549,0.00157,Mitochondrion
A0A0G2KAH4,Dock6,-0.0076,-0.01804,Nucleus
A0A0G2KAH7,Ext2,0.01218,-0.01337,Nucleus
A0A0G2KAI8,Drg2,0.02238,0.00621,Other
A0A0G2KAW5,Wdr48,0.02333,0.01966,Other
A0A0G2KAY0,Gas2l1,-0.00781,0.00981,Cytoskeleton
A0A0G2QC19,Dnajc21,-0.00286,0.02866,Nucleus
A0A0G2QC22,Paxx,0.0045,0.00535,Other
A0A0G2QC33,Atg4b,0.02152,-8.6e-4,Mitochondrion
A0A0G2QC45,Parn,-0.006,0.02345,Nucleus
A0A0U1RRQ3,Ubap2,9.5e-4,-0.02477,Other
A0A0U1RRU5,Tab1,0.00487,-0.00815,Nucleus
A0A0U1RRV5,Cluh,-0.00264,-0.01884,Mitochondrion
A0A0U1RS25,Upf1,-0.02263,0.00384,Nucleus
A0A140UHW6,Trmt1,-0.01959,-0.00574,Mitochondrion
A0A140UHX9,Ccz1,0.01475,-5.8e-4,Other
A0A140UHY3,Ewsr1,-0.01502,0.0308,Other
A0A1B0GWP1,Elovl1,-0.01125,-0.00416,Nucleus
A0A1B0GWT7,Lamtor2,0.02744,-0.00358,Other
A0A1B0GWX7,Atp6v0d1,-0.01257,0.01692,Cytoskeleton
A0A1W2Q626,Slc39a10,-0.0125,-0.00719,Other
A0A1W2Q6J6,Samd4b,0.00432,-0.00493,Other
A0A1W2Q6P4,Qtrt2,0.00604,0.00647,Mitochondrion
A0A8I5XVM7,Ociad2,-0.00461,0.00473,Mitochondrion
A0A8I5XVV3,Pcdh1,-0.01893,-0.00505,Other
A0A8I5XW39,Vrk1,-0.01664,-0.01584,Nucleus
A0A8I5Y0F2,Tnfaip8,-0.00904,0.00605,Other
A0A8I5Y0H0,Cul1,0.01716,0.02364,Other
A0A8I5Y0N1,Bltp3b,-0.016,-0.01419,Other
A0A8I5Y0R4,Efcab7,-5.4e-4,0.01033,Other
A0A8I5Y0Y2,Ddi2,-0.02234,8.2e-4,Other
A0A8I5Y120,Brap,7.8e-4,0.0034,Other
A0A8I5Y176,Ranbp9,-0.01776,0.01172,Cytoskeleton
A0A8I5Y1D5,Mtmr1,-0.00216,8.7e-4,Other
A0A8I5Y218;A0A8I5ZJI5,ENSRNOG00000065552;LOC134479414,-0.00371,0.0142,Other
A0A8I5Y2C3,Mrtfa,-0.00215,-0.02632,Other
A0A8I5Y4I3,Dctn6,0.00152,-0.00722,Cytoskeleton
A0A8I5Y4Y3,Tenm3,-0.00268,0.03243,Other
A0A8I5Y5L8,Sorbs3,-0.02328,0.01832,Other
A0A8I5Y5Q0,Phkb,0.00285,-0.0078,Other
A0A8I5Y5S4,Ppih,0.02153,0.01748,Nucleus
A0A8I5Y690,Neb,-0.01036,3.5e-4,Cytoskeleton
A0A8I5Y697,Ap1g1,0.01743,-0.01256,Nucleus
A0A8I5Y6B0,Porcn,0.00572,-0.0058,Nucleus
A0A8I5Y6D0,Peg3,-0.01592,-0.00643,Other
A0A8I5Y6Q8,Ankfy1,-6.6e-4,-0.02533,Other
A0A8I5Y6U5,Srp14,-0.00548,-0.01482,Other
A0A8I5Y708,Stk4,0.01227,-0.01746,Nucleus
A0A8I5Y7L4,Top2b,0.00931,0.01126,Nucleus
