uniprot_id,gene,PC1_loading,PC2_loading,compartment
A6J8V8,Pvr,-0.01495,-0.02883,Other
A6J903,Ethe1,-0.0252,-0.00595,Mitochondrion
A6JAS9,Tbc1d17,0.00851,0.00844,Other
A6JB73,Sphk2,-0.00829,0.00558,Mitochondrion
A6JFZ3,Usf1,-0.01872,-0.00105,Nucleus
A6JIS7,Polr1c,0.0143,-0.03013,Nucleus
A6JJK6,Bak1,0.02342,0.01653,Mitochondrion
A6JPV3,Vps37a,7.6e-4,0.01063,Other
A6JQ21,Slc1a4,-0.02539,0.01397,Cytoskeleton
A6JSH8,Trmt2a,0.00438,-0.02105,Other
A6JTV7,Endog,0.00504,-0.00851,Mitochondrion
A6JU10,Tor1b,0.00634,-0.01829,Nucleus
A6JVD5,Alg5,-0.01148,0.02026,Nucleus
A6JX44,Pkig,-0.00952,-0.01517,Other
A6K2U1,Psmd4,-0.02681,-0.01056,Other
A6K6G4,Mtmr9,-0.00986,0.0118,Nucleus
A6K6W9,Mtres1,0.0051,-0.0084,Mitochondrion
A6K9X0,Colgalt1,-0.02359,-0.0021,Other
A6KB61,Riok2,3e-4,-0.02207,Other
A6KF70,Epb41l3,-0.02714,0.00323,Other
A6KHP5;B5DFA6,Gem;Rem1,0.01464,-0.01381,Other
A6KI11,Eif2s2,0.01054,0.00134,Other
A6KJF6,Erp44,0.02136,0.01607,Nucleus
A6KKW6,Fam210b,0.00734,1e-4,Mitochondrion
A6KNE7,Snrpd1,-0.0074,0.02651,Nucleus
A6KSS8,Mcm7,0.01865,0.0115,Nucleus
A6KTP7,Lsm2,0.0116,0.0143,Nucleus
A7VJC2,Hnrnpa2b1,-0.0013,0.01644,Nucleus
A8IHN8,Ag2,-0.01814,0.01095,Other
A9UMV8;Q4FZT6,H2ac25;H2aj,-0.00221,0.00544,Other
B0BMS9,Prkrip1,0.00465,-0.02592,Cytoskeleton
B0BMT9,Sqor,0.00599,0.02229,Mitochondrion
B0BMV4,Yif1a,-0.01123,0.03012,Nucleus
B0BMY6,Otulin,0.01278,-0.02069,Other
B0BN18,Pfdn2,-0.02332,-0.00781,Mitochondrion
B0BN30,Mtch1,0.01157,-0.01411,Mitochondrion
B0BN48,Cdk2ap1,0.00448,0.02275,Nucleus
B0BN56,Mrps31,-0.01158,0.01772,Mitochondrion
B0BN63,Ahsa1,0.02239,-0.00599,Other
B0BN72,Mcrip1,-0.01895,0.01728,Other
B0BN83,Armc1,-0.00889,-0.00191,Mitochondrion
B0BN85,Sugt1,-0.02151,0.00375,Nucleus
B0BN86,Tmem11,0.01018,-0.01056,Mitochondrion
B0BN93,Psmd13,0.02745,-0.00762,Other
B0BN94,Fam136a,-0.01683,0.00663,Mitochondrion
B0BN98,Llph,0.00604,0.00571,Nucleus
B0BNA5,Cotl1,-0.01973,-0.00158,Cytoskeleton
B0BNA7,Eif3i,0.0093,0.02095,Other
B0BNA9,Cnot11,0.01068,-0.01697,Other
B0BNB0,Golt1b,0.00924,0.01979,Other
B0BNB5,Nup43,0.00791,-0.00509,Nucleus
B0BNB9,Htra2,0.01083,-0.0109,Mitochondrion
B0BNE2,Polr2e,0.00946,-0.01326,Nucleus
B0BNE5,Esd,0.00366,0.00913,Other
B0BNE7,Tspan7,0.00984,-0.00934,Other
B0BNF1,Septin8,-0.02087,-0.00356,Cytoskeleton
B0BNF8,Htatip2,0.02016,0.00474,Mitochondrion
B0BNG0,Emc2,-9e-5,0.0022,Nucleus
B0BNG5,Hif1an,-0.01625,-0.00915,Nucleus
B0BNK1,Rab5c,0.00718,-0.00301,Other
B0BNL7,Rell1,-6.1e-4,0.02031,Other
B0BNM1,Naxe,0.01615,0.00572,Mitochondrion
B0BNM9,GLTP,0.02415,0.0134,Other
B0BNN3,Ca1,0.00821,-0.01411,Other
B0K015,Commd8,-0.02373,0.00163,Other
B0K017,Adprs,0.01479,-0.01343,Mitochondrion
B0K019,Bag1,-0.02106,0.01546,Other
B0K020,Cisd1,-0.01148,-0.02519,Mitochondrion
B0K025,Ostc,0.00439,0.01797,Nucleus
B0LT89,Stk24,0.00787,-0.02867,Nucleus
B1H222,Gorab,-0.01225,-0.01033,Other
B1H232,Islr,0.01113,0.00277,Other
B1H257,Borcs5,-0.00498,-0.03242,Cytoskeleton
B1H267,Snx5,0.0196,-0.0154,Cytoskeleton
B1H268,Mcmbp,0.01017,0.01222,Other
B1H2A2,Fsd1,0.01378,-0.01645,Cytoskeleton
B1PRL5,Cavin4,-0.01311,-0.01621,Other
B1WBS4,Vps26b,0.00597,0.02391,Other
B1WBV0,Ctu1,0.00316,-0.01612,Other
B1WBV4,Plekhf2,-0.00768,0.00933,Other
B1WBW4,Armc10,0.02094,-0.01406,Mitochondrion
B1WBY7,Erlin1,0.02021,0.02143,Nucleus
B1WBZ6,Cxhxorf38,0.01647,-0.01678,Other
B1WC09,Ddr2,-0.01427,0.00167,Other
B1WC26,Nans,-0.00436,0.00657,Other
B1WC33,Cdc42ep4,-0.02609,0.0033,Cytoskeleton
B1WC40,Ncbp2,0.02282,-0.00416,Other
B1WC42,Trip6,-0.01752,0.02065,Cytoskeleton
B1WC44,Nmd3,-0.01533,-0.01276,Nucleus
B1WC49,Api5,-0.01496,-0.0175,Nucleus
B1WC61,Acad9,0.02663,0.00857,Mitochondrion
B1WC66,Nt5dc1,-0.00291,0.0053,Other
B1WC73,Arl6,0.01163,-0.00876,Cytoskeleton
B1WC88,B1WC88,-0.01523,-0.00446,Other
B2GUV7,Eif5b,0.00411,-0.01984,Other
B2GUY0,Man1b1,0.0207,-0.00577,Nucleus
B2GUZ1,Usp4,0.00691,0.00899,Other
B2GUZ3,Mthfd1l,0.00666,-0.03313,Mitochondrion
B2GUZ5,Capza1,-0.01957,0.0059,Cytoskeleton
B2GUZ7,Tbcc,0.00896,-0.00304,Cytoskeleton
B2GV05,Rbm5,-0.00839,0.01943,Nucleus
B2GV06,Oxct1,0.005,0.01836,Mitochondrion
B2GV14,Txlna,-0.01435,-0.01011,Other
B2GV15,Dbt,0.02083,-9e-4,Mitochondrion
B2GV22,Ptdss2,0.00746,0.00413,Nucleus
B2GV24,Ufl1,0.01171,-0.01394,Mitochondrion
B2GV38,Ubl4a,-0.00515,-0.02597,Other
B2GV41,Usp39,0.00466,0.00841,Nucleus
B2GV52,Bloc1s5,-0.00862,0.01755,Other
B2GV54,Nceh1,0.01363,-0.02083,Nucleus
B2GV55,Ube2q1,0.00837,-0.02232,Cytoskeleton
B2GV65;D3ZU87,Higd2a;Higd2al1,-0.01242,0.02313,Other
B2GV72,Cbr3,0.01196,0.02967,Mitochondrion
B2GV94,Retreg3,0.01144,-0.022,Nucleus
B2GV96,Ccdc115,0.00531,-0.02708,Other
B2RYD7,Stt3b,0.01497,-0.01457,Nucleus
B2RYF7,Washc1,-0.00813,-0.00554,Cytoskeleton
B2RYG5,Taf15,-0.0196,0.01903,Nucleus
B2RYG6,Otub1,0.02638,0.00115,Other
B2RYI0,Wdr91,-3.5e-4,0.00376,Other
B2RYI5,Ankrd40,0.01807,-0.0127,Other
B2RYJ3,Cul4a,0.02273,-0.00443,Nucleus
B2RYJ4,Aasdhppt,0.02204,0.0046,Other
B2RYL1,Derpc,-0.00723,0.00654,Other
B2RYL4,Armc6,0.02393,-0.00944,Other
B2RYM5,Brcc3,0.00192,-0.00623,Cytoskeleton
B2RYM6,Zc3hc1,1.9e-4,-0.02001,Nucleus
B2RYN0,Pgm3,0.00864,0.01497,Other
B2RYN7,Spast,0.02245,-0.01346,Cytoskeleton
B2RYP3,Fam91a1,0.01807,0.02276,Other
B2RYS2,Uqcrb,-0.01825,-0.01343,Mitochondrion
B2RYS8,Ndufb8,-0.02301,0.0119,Mitochondrion
B2RYS9,Trmt112,-0.02713,0.00432,Nucleus
B2RYT0,Mrps21,0.02102,0.0036,Mitochondrion
B2RYT9,Taco1,0.00434,-0.00894,Mitochondrion
B2RYU7,Cbx5,-0.01887,0.01211,Nucleus
B2RYU8,Lyrm1,0.01069,0.01543,Mitochondrion
B2RYW8,Micos10,0.00589,0.02581,Mitochondrion
B2RYW9,Fahd2a,0.02476,0.0113,Mitochondrion
B2RYX1,Uqcr10,0.02834,0.0018600000000000001,Mitochondrion
B2RZ20,Ssna1,-0.0091,-0.01217,Cytoskeleton
B2RZ27,Sh3bgrl3,-0.01243,0.00938,Other
B2RZ33,Nck1,0.01414,0.00955,Other
B2RZ37,Reep5,-0.01379,-0.01004,Nucleus
B2RZ44,Naa20,-0.00869,-0.01802,Other
B2RZ66,Srp19,-0.00616,0.01618,Nucleus
B2RZ78,Vps29,0.00892,0.02818,Other
B2RZ79,Iscu,-0.01386,-0.00781,Mitochondrion
B2RZC9,Krtcap2,-0.01704,-0.00448,Nucleus
B3DMA2,Acad11,-0.01147,-0.00486,Mitochondrion
B3GNI6,Septin11,-0.00486,-0.02112,Cytoskeleton
B4F777,Hmgn5,-0.02374,0.00892,Nucleus
B4F778,Rfc4,0.01464,-0.00617,Nucleus
B4F786,Cd2bp2,0.0046,-0.01023,Nucleus
B4F795,Slc44a2,0.00565,0.02722,Mitochondrion
B4F7A3,Lgalsl,-0.00214,-0.01031,Other
B4F7C7,Hebp1,-0.01342,-0.01503,Mitochondrion
B4F7E7,Pals1,0.00786,-0.01638,Other
B4F7E8,Niban2,0.01561,-0.00275,Other
B4F7F3,Arvcf,-0.01507,0.01698,Other
B5DEF5,Slc39a1,0.02604,0.01337,Nucleus
B5DEG8,Sec24c,0.01888,0.01183,Nucleus
B5DEH0,Limd1,0.00304,-0.02882,Other
B5DEH2,Erlin2,0.01719,-0.02148,Nucleus
B5DEH4,Uap1l1,-0.00791,-0.01035,Other
B5DEI0,Pcyox1l,0.01568,0.00918,Other
B5DEJ6,Tpk1,0.0195,-0.01677,Other
B5DEK0,Rprd1b,-0.00545,-0.01278,Other
B5DEL1,Kctd5,0.00368,0.03265,Other
B5DEL8,Ndufs5,0.00485,0.02549,Mitochondrion
B5DEM7;A0A8I6GH96,ENSRNOG00000068353;Supt4h1,-0.00588,-0.00288,Other
B5DEN9,Vps28,0.02637,0.00777,Other
B5DEP5,Trip4,-0.00647,0.01617,Cytoskeleton
B5DEQ3,Xpnpep3,-0.00153,0.01869,Mitochondrion
B5DEQ4,Snrpb2,-0.0088,0.01638,Nucleus
B5DEZ3,Ccdc126,-0.00369,-0.02105,Other
B5DF09,Eapp,0.00216,-0.005,Nucleus
B5DF11,Zfand5,0.00417,0.00805,Other
B5DF21,Samd4a,-0.00852,0.00463,Other
B5DF27,Loxl2,0.00249,0.00252,Nucleus
B5DF29,Rfc5,0.01797,-0.00818,Nucleus
B5DF51,Mmgt1,-0.02206,0.01319,Nucleus
B5DF55,Stam,-0.02483,-0.00247,Other
B5DF62,Pak4,-0.02145,-0.01314,Other
B5DF89,Cul3,0.0153,-0.01101,Cytoskeleton
B5DF91,Elavl1,-0.00364,0.00906,Nucleus
B5DF93,Patl1,7e-4,-0.01559,Nucleus
B5DFA5,Poglut2,-0.01039,-0.02061,Other
B5DFC3,Sec23a,0.01599,0.02295,Nucleus
B5DFC6,Gnpda1,0.00979,-0.00948,Other
B5DFC8,Eif3c,-0.01199,-0.02788,Other
B5DFC9,Nid2,-0.00444,0.00526,Other
B5DFF4,Vps37c,-0.00239,0.00507,Other
B5DFJ4,Vps18,0.01339,0.00454,Cytoskeleton
B5DFK6,Ap3d1,-0.01789,0.01298,Other
B5DFL9,Sestd1,0.01181,-0.02151,Cytoskeleton
B5DFM8,Bcas2,-0.00128,0.01446,Nucleus
B5DFN2,Ahcyl1,0.02421,0.01626,Mitochondrion
B5DFN3,Uqcc2,0.00705,-0.02473,Mitochondrion
D2XV59,Gtpbp1,0.01039,0.01408,Other
D3Z7Z5,Ranbp10,0.01632,-0.00989,Cytoskeleton
D3Z863,Cwf19l1,-3.1e-4,0.01754,Nucleus
D3Z898,Samhd1,0.00396,0.01774,Other
D3Z8B2,Nup133,0.01805,-0.00854,Nucleus
D3Z8E0,Rps6ka3,-0.00324,0.02584,Nucleus
D3Z8E6,Camsap1,-0.01564,-0.00117,Cytoskeleton
D3Z8K5,Usp38,0.00472,-0.01657,Other
D3Z8L5,Pum1,-0.00623,-0.00918,Other
D3Z8L7,Rras,0.02854,0.00244,Other
D3Z8P1,Rnf7,0.00879,-0.00549,Other
D3Z8Q7,Ciao2b,-0.02119,0.01721,Cytoskeleton
D3Z8W5,Ube2l3,-0.00272,-0.00313,Other
D3Z914,Inip,-0.00431,0.00556,Nucleus
D3Z941,Mars1,0.01037,0.02729,Nucleus
D3Z955,Pgm2l1,0.01285,0.01862,Other
D3Z9D2,Fyco1,2.7e-4,-0.01417,Other
D3Z9G1,Fbxw17,5.1e-4,-3.4e-4,Other
D3Z9H7,Nfatc4,-0.00301,-0.00864,Nucleus
D3Z9I1,Coa3,-0.01017,0.00814,Mitochondrion
D3Z9K2,Mrpl54,0.00304,-5.6e-4,Mitochondrion
D3Z9K4,Plekho2,-0.02339,0.00582,Other
D3Z9R7,Stx16,-0.00663,4e-4,Nucleus
D3Z9R8,Atp5mpl,-0.00896,7.9e-4,Other
D3Z9Z9,Smarcad1,-0.00482,0.02411,Nucleus
D3ZA22,Trim47,-0.01843,0.00132,Other
D3ZA31,Mtmr2,0.00668,0.0195,Nucleus
D3ZA45,Atg13,-0.00619,0.02427,Mitochondrion
D3ZA55,Ecd,0.00188,0.01245,Other
D3ZA84,Tln2,-0.01695,0.01437,Cytoskeleton
D3ZA85,Nfu1,0.00105,-0.01948,Mitochondrion
D3ZAE6,Vasn,-0.01238,0.02007,Mitochondrion
D3ZAF6,Atp5mf,0.01941,-0.00939,Mitochondrion
D3ZAI6,Nt5dc3,0.0065,-0.0049,Mitochondrion
D3ZAL7,Gab1,-7.3e-4,-0.02146,Other
D3ZAN3,Ganab,0.01754,-0.02394,Other
D3ZAP9,Gpd1l,0.01958,-0.00191,Other
D3ZAS1,Rps2-ps42,-0.01711,0.00145,Other
D3ZAS8,Sart3,-0.01621,-0.00594,Nucleus
D3ZAS9,Ddrgk1,0.00606,0.01443,Nucleus
D3ZAT4,Serpina9,-0.00503,-0.00534,Other
D3ZAW4,Abhd4,0.00988,-0.00162,Nucleus
D3ZAX5,Cherp,-0.00314,-0.01707,Nucleus
D3ZAY8,Pnn,1.2e-4,-0.0018600000000000001,Cytoskeleton
D3ZAZ0,Eif3m,0.02746,1.9e-4,Other
D3ZAZ5,Bcar3,-0.01665,0.00446,Other
D3ZB65,Bccip,-0.00917,0.02987,Cytoskeleton
D3ZB71,Dvl2,-0.0058,-0.02704,Other
D3ZBE5,Nek7,0.02557,-0.00754,Cytoskeleton
D3ZBE8,Upf3b,-0.01119,0.00402,Nucleus
D3ZBG6,Ptrhd1,-0.01584,0.00199,Mitochondrion
D3ZBN0,H1-5,-0.0061,0.00467,Other
D3ZBN3,Epha2,0.01202,0.00728,Other
D3ZBP4,Mical1,-0.02151,-0.01666,Cytoskeleton
D3ZBQ5,Scarf2,-0.02059,0.0045,Other
D3ZC01,Rbbp5,-0.00991,-8.8e-4,Nucleus
D3ZC96,Ttc39b,-0.00985,-0.00348,Other
D3ZCG3,Mon2,0.01994,-0.00555,Other
D3ZCG4,Spag7,-0.00739,0.00912,Other
D3ZCG9,Itga3,-0.00246,-0.01606,Cytoskeleton
D3ZCH6,Rnaset2,-0.02383,0.00883,Mitochondrion
D3ZCK4,Def6,-0.00445,-0.00418,Cytoskeleton
D3ZCL3,Snrpc,-0.01033,0.02842,Nucleus
D3ZCP9,Gtf2e2,-0.00108,-0.01629,Nucleus
D3ZCT5,Pald1,0.0083,0.01583,Other
D3ZCZ9,Ndufs6,-0.0206,0.02146,Other
D3ZD05,Kank2,-0.02203,0.00267,Mitochondrion
D3ZD11,Spcs2,-0.00975,0.01419,Nucleus
D3ZD23,Abce1,0.00532,0.01225,Mitochondrion
D3ZD47,Ctif,0.01848,-0.00769,Nucleus
D3ZD72,Ncapg,0.01846,-0.02281,Nucleus
D3ZD73,Ddx6,6.2e-4,0.00887,Cytoskeleton
D3ZD83,Mfsd10,0.02618,0.01331,Cytoskeleton
D3ZD89,Naa15,0.02515,-0.00775,Nucleus
D3ZD97,Dhx15,0.01655,0.01799,Nucleus
D3ZDF3,Irag1,-0.00982,-0.0022,Nucleus
D3ZDG0,C7h8orf33,-8.4e-4,-0.00466,Other
D3ZDI5,Arhgap12,-0.01025,0.02887,Other
D3ZDI7,Ppp2r5a,0.01645,-0.0159,Cytoskeleton
D3ZDI9,Usp13,-0.00254,0.00696,Other
D3ZDK7,Pgp,0.02357,-0.00799,Other
D3ZDW3,Tsc22d2,-0.00601,0.01316,Other
D3ZE02,C1h19orf33,-0.01927,0.00484,Other
D3ZE15,Ndufa13,0.02167,0.01776,Mitochondrion
D3ZE49,Trappc12,0.00335,-0.01277,Nucleus
D3ZE59,Tmem115,-0.0128,0.01462,Other
D3ZE72,Metap1,0.02607,0.01102,Other
D3ZE91,Kctd9,-0.00693,-0.02756,Other
D3ZEB8,Rps12l7,0.02237,0.01487,Other
D3ZEF4,Cul7,0.01572,0.02004,Cytoskeleton
D3ZEH2,Foxred1,0.00393,-0.01672,Mitochondrion
D3ZEJ9,C10h17orf75,0.0017,0.01846,Other
D3ZEM8,Tsr1,-0.00679,-0.03039,Nucleus
D3ZEN0,Micall2,-0.01632,-0.00172,Cytoskeleton
D3ZER6,Tnpo2,0.01446,-0.00524,Other
D3ZES2,Trappc6b,0.02629,-0.00389,Other
D3ZF11,Lamtor5,-0.02237,0.0137,Other
D3ZF12,Spcs3,0.01592,-0.01079,Nucleus
D3ZF13,Ndufab1,-0.01672,-0.00712,Mitochondrion
D3ZF26,Tnks1bp1,-0.02807,-0.00204,Nucleus
D3ZF39,Uap1,-0.00534,0.00778,Other
D3ZF45,Larp4b,-0.0074,-0.02803,Other
D3ZF97,Erlec1,0.01568,-0.00743,Other
D3ZF99,Mrpl55,-0.00714,-0.00414,Mitochondrion
D3ZFD0,Myo18a,-0.01125,-0.01998,Cytoskeleton
D3ZFD2,Galnt2,0.00603,0.01968,Nucleus
D3ZFE9,Mrpl1,0.01319,-0.01433,Mitochondrion
D3ZFF4,Lclat1,0.00935,-0.00138,Nucleus
D3ZFJ3,Sh3bp1,-0.00122,0.01668,Other
D3ZFJ6,Lactb,0.00644,-0.03505,Mitochondrion
D3ZFK5,Spcs1,-0.0083,0.00305,Nucleus
D3ZFK6,Atg16l1,-0.00231,-0.01976,Other
D3ZFM1,Asf1a,0.01901,-0.01977,Nucleus
D3ZFP4,Mcm3,-0.00736,-0.02789,Nucleus
D3ZFQ8,Cyc1,0.0169,0.02953,Mitochondrion
D3ZFT1,Rfc1,0.00869,-0.00685,Other
D3ZFU9,Mylk,-0.02478,0.00865,Cytoskeleton
D3ZFY0,Sephs1,0.01213,0.00176,Nucleus
D3ZG07,Lsm6,0.00489,0.00631,Other
D3ZG43,Ndufs3,0.02052,-0.00937,Mitochondrion
D3ZG48,Ddx50,-0.00221,0.00506,Nucleus
D3ZG78,Zzef1,-2e-5,-0.00313,Other
D3ZG88,Znrd2,-0.01376,-0.01468,Other
D3ZGD0,Gemin5,0.01209,0.011,Nucleus
D3ZGE9,Rbm38,-0.01083,0.01633,Other
D3ZGR7,Trir,-0.00221,-0.02422,Other
D3ZGX8,Brd4,-0.01872,0.01097,Nucleus
D3ZGY1,Pym1,-0.01479,-0.01627,Nucleus
D3ZH12,Nosip,0.01339,-0.00172,Other
D3ZH39,Ephb3,0.01408,-0.00362,Other
D3ZH41,Ckap4,-0.02214,-0.01285,Nucleus
D3ZHA0,Flnc,-0.0259,6.6e-4,Other
D3ZHA1,B4gat1,0.01571,0.0019,Other
D3ZHA2,Klhl30,-9.7e-4,-0.01414,Other
D3ZHB7,Ube3c,0.02657,0.00429,Other
D3ZHC4,Hebp2,-0.00913,-0.0021,Mitochondrion
D3ZHK4,Rb1cc1,-0.01028,0.01023,Nucleus
D3ZHL6,Map4k5,-0.01031,0.01969,Other
D3ZHV2,Macf1,-0.02296,-0.01672,Cytoskeleton
D3ZHW0,Dhx29,-7.9e-4,0.00731,Other
D3ZI68,Prpf31,0.01171,-0.01879,Nucleus
D3ZIH4,Fbxo4,0.01618,0.00642,Other
D3ZII7,Yaf2,0.00201,-0.00526,Nucleus
D3ZII8,Smyd5,0.01443,0.02565,Other
D3ZIJ5,Dpm3,0.02044,0.02001,Nucleus
D3ZIK0,Glce,-0.00183,0.01341,Other
D3ZIM9,ENSRNOG00000064328,-0.02301,0.00156,Other
D3ZIN7,Mrps23,0.02212,-0.01723,Mitochondrion
D3ZIP8,Endod1,0.00662,-0.00599,Other
D3ZIT4,Anapc7,0.00298,-0.00634,Cytoskeleton
D3ZIU2,Psmg3,0.02268,-0.00581,Other
D3ZIX4,H1f10,-0.00202,-0.00925,Nucleus
D3ZJ25,Slc1a5,-0.00251,-0.02449,Other
D3ZJ32,Esyt2,0.00489,0.0076,Nucleus
D3ZJ77,Cab39,0.02668,-0.00332,Other
D3ZJ91,Ddhd2,-0.00221,-0.01465,Other
D3ZJA3,Spry4,-0.01508,0.01132,Other
D3ZJB8,Arih2,0.00313,0.01539,Other
D3ZJF7,Terf2,0.00785,0.00588,Nucleus
D3ZJG4,Pacs2,-0.00167,-0.01863,Mitochondrion
D3ZJR1,Eps15l1,-0.022,-0.00477,Other
D3ZJX5,Timm50,0.01714,0.01193,Mitochondrion
D3ZJZ0,Tmem205,0.01324,3.9e-4,Mitochondrion
D3ZK09,Scyl3,-0.00397,-0.02039,Other
D3ZK56,Rap2c,0.00178,-0.02342,Other
D3ZK73,Cul4b,0.00986,-0.0069,Nucleus
D3ZKE1,Uvrag,0.01135,0.00141,Cytoskeleton
D3ZKG1,Mmut,-0.00626,-0.01153,Mitochondrion
D3ZKQ4,Rabl6,-0.00401,0.00728,Other
D3ZKR9,Tut7,0.00373,0.00507,Other
D3ZKU7,Bloc1s1,-0.01686,-0.00735,Other
D3ZKX1,Washc3,-0.02419,0.005,Other
D3ZL11,Rbsn,-0.00988,0.00981,Other
D3ZL50,Skic3,0.0248,3.9e-4,Nucleus
D3ZL85,Hccs,-0.018,-0.00949,Mitochondrion
D3ZL95,Usp40,-0.00239,-0.0186,Other
D3ZLA3,Cpne3,0.01588,0.02317,Other
D3ZLC1,Lmnb2,0.0034,0.00634,Cytoskeleton
D3ZLC3,Itprid2,-0.01087,0.01851,Other
D3ZLD5,Golga3,-0.0038,-0.03766,Other
D3ZLM5,Nhlrc2,0.00678,0.01068,Other
D3ZLN7,Commd2,0.02181,-0.00665,Other
D3ZLS5,Hectd1,-0.0018,-0.01816,Nucleus
D3ZLT1,Ndufb7,0.00405,0.0022,Mitochondrion
D3ZLT6,Klhl31,0.00159,-0.0134,Other
D3ZLT7,2510039O18Rikl,8.6e-4,0.00293,Other
D3ZLZ7,Impdh1,-0.00538,-0.01126,Other
D3ZM03,Vma21,0.00651,-0.01837,Nucleus
D3ZM21,Comtd1,0.02562,0.0095,Mitochondrion
D3ZML4,Trabd,0.01329,-0.00393,Mitochondrion
D3ZMM8,Slc7a6,0.01121,-9.6e-4,Other
D3ZMQ3,Itga4,0.01556,-0.01149,Other
D3ZMS1,Sf3b2,-0.01205,-0.00258,Nucleus
D3ZMX6,Sntb2,-0.01368,-0.01543,Cytoskeleton
D3ZMY7,Nt5c2,0.02444,-0.00238,Other
D3ZN39,Usp8,-0.01481,-0.02361,Other
D3ZN63,Wdhd1,0.02019,0.00449,Nucleus
D3ZN95,Hcfc1,-0.02286,0.01196,Nucleus
D3ZND9,Riok3,0.00923,-0.00469,Other
D3ZNF4,Tbl1xr1,-0.01562,0.01674,Cytoskeleton
D3ZNG3,Sppl2a,-0.00138,0.01319,Nucleus
D3ZNV6,Elmod2,0.00136,0.01448,Other
D3ZNX0,Kctd3,-0.00868,-0.00165,Other
D3ZNX9,Mapk1ip1l,-0.00319,-0.02196,Other
D3ZP13,Qsox2,0.01383,-0.02212,Nucleus
D3ZP96,Mcm2,0.01386,-0.0211,Nucleus
D3ZP98,Hm13,0.02585,-0.00644,Nucleus
D3ZPA1,Gcc1,-0.01811,-0.00303,Other
D3ZPF2,Mcat,-0.00276,-0.02607,Mitochondrion
D3ZPL1,Cpsf6,-8e-5,-0.02209,Nucleus
D3ZPM7,Adam19,0.0224,0.00838,Other
D3ZPN7,LOC134480579,-0.02106,-0.00486,Other
D3ZPP2,Arl8a,0.02215,0.00482,Cytoskeleton
D3ZPP9,Card19,0.00904,0.00798,Mitochondrion
D3ZPW7,Gpx8,0.00158,0.01192,Other
D3ZQ25,Fbln1,-0.01914,0.02327,Other
D3ZQ77,C10h5orf15,0.01584,-0.0181,Other
D3ZQ80,Smg8,-0.00283,-0.00417,Other
D3ZQ82,Rfx1,-0.0058,0.00751,Nucleus
D3ZQ91,Rpa3l1,-0.00933,0.00718,Other
D3ZQB6,Hdhd5,-0.00538,-0.02447,Mitochondrion
D3ZQE8,Xpo5,0.0182,0.00846,Other
D3ZQG6,Trim2,-0.00736,0.01008,Other
D3ZQI4,Zfand1,-0.00487,0.00922,Other
D3ZQI7,Zbtb47,0.01369,-0.01338,Other
D3ZQL1,Emc7,-0.0065,-0.00195,Nucleus
D3ZQL6,Micall1,-0.01136,0.01905,Cytoskeleton
D3ZQM0,Sf3a1,-0.00574,-0.00274,Nucleus
D3ZQN7,Lamb1,-0.01799,0.01279,Nucleus
D3ZQQ1,Aftph,-0.00188,-0.00379,Nucleus
D3ZQY4,Fryl,-3.8e-4,-0.01474,Other
D3ZR49,Man1a2,-0.00794,0.02003,Other
D3ZRC3,Rbm26,0.01381,0.00271,Other
D3ZRC4,Pnpla8,-0.01543,0.00252,Mitochondrion
D3ZRD3,Pde6d,-0.00621,-0.00544,Other
D3ZRD9,Aif1l,-0.00791,-0.0056,Cytoskeleton
D3ZRH1,Oxa1l,0.02289,0.00386,Mitochondrion
D3ZRM0,Styxl2,0.00158,0.03198,Other
D3ZRM3,Chsy1,0.00159,0.00468,Other
D3ZRM5,Rab23,0.02276,-0.00865,Other
D3ZRN3,Actbl2,0.01581,-0.00103,Cytoskeleton
D3ZRN5,Ro60,0.01545,0.0143,Other
D3ZS58,Ndufa2,-0.00508,-0.01135,Mitochondrion
D3ZS59,Fbxl22,0.01807,0.02275,Other
D3ZSA9,Nomo1,0.00903,0.00367,Nucleus
D3ZSC1,Susd5,-0.02193,-0.00947,Other
D3ZSK5,Setd6,0.00862,-0.00526,Other
D3ZSM9,Brat1,0.01189,-0.00559,Other
D3ZSP1,Snrpe,0.02676,0.00939,Nucleus
D3ZSR7,Ccdc102a,-0.01326,-0.00199,Cytoskeleton
D3ZSU7,Mien1,0.00574,0.01854,Mitochondrion
D3ZSV1,Ift20,0.00471,-0.02518,Cytoskeleton
D3ZSY8,Tbc1d10b,0.02026,0.00105,Other
D3ZT01,Cog2,0.00849,0.00978,Other
D3ZT37,Tceal7,-0.00221,-0.00371,Other
D3ZT47,Fam171a2,-0.00802,-0.01813,Other
D3ZT64,Atg2a,-0.00702,-0.00204,Nucleus
D3ZT71,Bcl2l13,-0.00136,0.00256,Mitochondrion
D3ZT98,Bola3,0.01691,0.02148,Mitochondrion
D3ZTB4,Vps11,-0.00457,3.1e-4,Other
D3ZTF6,Pik3c2a,0.00437,0.01186,Other
D3ZTJ0,Rp2,0.01609,0.0168,Cytoskeleton
D3ZTN2,Cmc1,-0.01061,0.02323,Mitochondrion
D3ZTR5,Zbed5,-0.01805,0.01634,Other
D3ZTT7,Sun2,0.00145,0.01225,Cytoskeleton
D3ZTW8,Mrpl27,0.003,0.0112,Mitochondrion
D3ZTW9,Exog,0.01335,0.01433,Mitochondrion
D3ZTX0,Tmed7,0.02791,-0.00348,Nucleus
