contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Reactome,REACTOME_SIGNALING_BY_NOTCH4,Signaling By Notch4,2.201,4.39e-5,6.46e-4,34,FALSE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Rbx1;Psma2;Psma7;Psmd12;Psmd8;Psma1;Cul1;Psmc6
PC1,Reactome,REACTOME_SIGNALING_BY_NTRKS,Signaling By Ntrks,1.617,0.0248,0.0835,32,TRUE,Ap2b1;Cltc;Src;Ppp2cb;Stat3;Ywhab;Dusp3;Rac1;Mapk14;Rala
PC1,Reactome,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,Signaling By Nuclear Receptors,0.992,0.459,0.639,59,FALSE,Xpo1;Src;Ctsd;Fasn;Ccnd1;Gnb2;Pdhx;Gnai2;Gnai3;Pdhb
PC1,Reactome,REACTOME_SIGNALING_BY_PDGF,Signaling By Pdgf,-0.896,0.635,0.784,23,TRUE,Col3a1;Col5a2;Col5a1;Stat1
PC1,Reactome,REACTOME_SIGNALING_BY_PTK6,Signaling By PTK6,1.28,0.148,0.288,17,TRUE,Cdk4;Stat3;Ccnd1;Cdk2;Rasa1;Rac1
PC1,Reactome,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,Signaling By Receptor Tyrosine Kinases,-0.998,0.465,0.639,137,FALSE,Col3a1;Sparc;Col1a1;Stam;Rhoa;Col1a2;Col5a2;Col5a1;Stam2;Stat1;Atp6v1f;Gab2;Stmn1;Polr2i;Dnmt1;Nedd4;Clta;Itgav;Atp6v1d;Ralb;Ranbp9;Pxn;Rock1;Bax;Csk
PC1,Reactome,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,Signaling By Rho Gtpases Miro Gtpases & Rhobtb3,1.049,0.341,0.526,180,FALSE,Pfn1;Xpo1;Actb;Tuba4a;Dync1h1;Samm50;Zw10;Cltc;Slc25a3;Src;Cct7;Actn1;Abcd3;Cct2;Ppp2cb;Ywhah;Actr3;Ywhae;Ywhab;Pfn2;Ctnnb1;Rhot1;Bub3;Dbt;Rasal2;Ndufs3;Tuba3a;Rac1;Shmt2;Rhob;Esyt1;Aldh3a2;Ywhag;Mapk14;Arpc2;Rnd3;Pafah1b1
PC1,Reactome,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Signaling By Robo Receptors,1.849,4.7e-4,0.0036,72,FALSE,Pfn1;Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Src;Rbx1;Psma2;Rplp0;Psma7;Ncbp2;Psmd12;Psmd8;Pfn2;Rac1;Psma1;Psmc6;Nck2;Rps27l;Rps2;Rpl22;Psmd14;Rps5;Ncbp1;Nck1;Prkar2a;Rps10
PC1,Reactome,REACTOME_SIGNALING_BY_SCF_KIT,Signaling By Scf Kit,0.952,0.526,0.686,11,FALSE,Src;Stat3;Rac1
PC1,Reactome,REACTOME_SIGNALING_BY_TGFBR3,Signaling By Tgfbr3,-0.859,0.638,0.785,11,TRUE,Tgfb2;Ago2;Tnrc6b;Sp1
PC1,Reactome,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,Signaling By Tgfb Family Members,-0.859,0.71,0.828,44,FALSE,Tgfb2;Rhoa;Col1a2;Stat1;Fstl1;Itgav;Cdkn2b;Fst;Fkbp1a;Ncor2;Cbl;Ltbp2;Ago2;Tnrc6b;Sp1;Fbn1;Ltbp1;Smad2;Ppm1a;Itgb1
PC1,Reactome,REACTOME_SIGNALING_BY_VEGF,Signaling By Vegf,0.793,0.808,0.886,41,FALSE,Actb;Src;Ctnnb1;Rasa1;Rac1;Mapk14;Nck2;Nck1;Mtor;Baiap2;Cyfip2;Plcg1;Abi1
PC1,Reactome,REACTOME_SIGNALING_BY_WNT,Signaling By WNT,2.001,3.95e-5,6.09e-4,67,FALSE,Pfn1;Psmb5;Psma3;Psmc4;Psmd13;Xpo1;Psmb2;Smurf1;Ap2b1;Psmb3;Psma6;Psma4;Cltc;Rbx1;Psma2;Ppp2cb;Psma7;Wls;Gnb2;Psmd12;Psmd8;Ctnnb1;Rac1;Psma1;Ctbp1;Cul1;Psmc6
PC1,Reactome,REACTOME_SIGNALLING_TO_ERKS,Signalling To Erks,1.328,0.138,0.281,11,FALSE,Src;Ywhab;Mapk14;Rala
PC1,Reactome,REACTOME_SIGNAL_TRANSDUCTION_BY_L1,Signal Transduction By L1,-1.059,0.387,0.571,11,TRUE,Itga5;Itgav;Ncam1;Csnk2b
PC1,Reactome,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,Slc Mediated Transmembrane Transport,0.728,0.89,0.941,28,FALSE,Slc35b2;Slc25a11;Slc25a1;Slc29a1;Slc25a4;Slc25a10;Slc25a5;Slc7a5
