contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Hallmark,HALLMARK_ADIPOGENESIS,Adipogenesis,1.705,7.84e-4,0.00627,119,TRUE,Uqcr10;Prdx3;Idh3g;Atp1b3;Samm50;Aldoa;Mdh2;Cs;Aldh2;Mtarc2;Taldo1;Acadm;Por;Dhcr7;Echs1;Gpx4;Slc25a1;Atp5po;Etfb;Dbt;Hibch;Dhrs7;Ndufs3;Acaa2;Uqcrq;Uqcrc1;Esyt1;Rtn3;Ywhag;Lpcat3;Uck1;Cd151;Slc25a10;Idh3a;Ech1;Cyc1;Ptcd3;Pgm1;Cpt2;Mtch2;Decr1;Qdpr;Acads;Ndufa5
PC1,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,-1.393,0.0598,0.156,42,TRUE,Flna;Capg;Eif3j;Tgfb2;Stat1;Icam1;Eif5a;Ccnd2;Rps3a;Cd47;Csk;Tpd52;Npm1;Eif3d;Degs1;Map3k7
PC1,Hallmark,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,1.089,0.33,0.495,43,TRUE,Idi1;Actn1;Plpp1;Ccnd1;Acsl3;Sms;Cdk6;Gnai3;Ccnd3;Gpd1l;Rrp12;Stk39;Spcs3
PC1,Hallmark,HALLMARK_ANGIOGENESIS,Angiogenesis,-1.736,0.0095,0.0388,16,TRUE,Col3a1;Lrpap1;Col5a2;Fstl1;Ccnd2;Itgav
PC1,Hallmark,HALLMARK_APICAL_JUNCTION,Apical Junction,-1.105,0.273,0.436,80,TRUE,Cdh15;Flnc;Epb41l2;Inppl1;Sorbs3;Cnn2;Ikbkg;Zyx;Icam1;Tjp1;Hadh;Nectin2;Pcdh1;Cdh11;Wasl;Vasp;Msn;Stx4
PC1,Hallmark,HALLMARK_APICAL_SURFACE,Apical Surface,0.652,0.913,0.952,10,TRUE,Gstm5;Thy1;Ephb4
PC1,Hallmark,HALLMARK_APOPTOSIS,Apoptosis,-1.366,0.0618,0.156,68,TRUE,Pea15;Hmgb2;Sptan1;Tgfb2;Ppp3r1;Sod1;Add1;Mgmt;Bcap31;Cdkn1b;Ccnd2;Eno2;Bid;Cd44;Rock1;Bax;Avpr1a;Hspb1;Sqstm1;Gpx1;Dnaja1;Dap
PC1,Hallmark,HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,1.273,0.146,0.315,34,TRUE,Slc35b2;Idi1;Aldh9a1;Abcd3;Acsl5;Acsl1;Pex13;Slc29a1;Idh2
PC1,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,1.419,0.0541,0.156,43,TRUE,Acat2;Idi1;Nsdhl;Anxa5;Fasn;Lgals3;Sqle;Dhcr7;Ctnnb1;Fdft1;Fdps;Ech1;Fads2
PC1,Hallmark,HALLMARK_COAGULATION,Coagulation,1.017,0.422,0.563,33,TRUE,Lta4h;Prep;Arf4;Anxa1;Gnb2;Rac1;Sirt2;Pef1;Mmp14
PC1,Hallmark,HALLMARK_COMPLEMENT,Complement,1.612,0.00768,0.0368,63,TRUE,Pfn1;Lap3;Lta4h;Prep;Ppp4c;Src;Anxa5;Ppp2cb;Ctsd;Gnb2;Lgals3;Gnai2;Gnai3;Casp3;Ehd1;F5;Cblb;Lipa;Usp15;Mmp14;Usp14
PC1,Hallmark,HALLMARK_DNA_REPAIR,DNA Repair,1.623,0.00509,0.0305,75,TRUE,Sec61a1;Vps28;Aprt;Nudt21;Rbx1;Pnp;Umps;Ddb1;Ncbp2;Hprt1;Nt5c3a;Gpx4;Tmed2;Ssrp1;Sdcbp;Impdh2;Rala;Rfc5;Dad1;Rfc3;Polr2g;Rfc4;Nme1;Polr1c;Eloa;Rnmt;Itpa;Mpc2
PC1,Hallmark,HALLMARK_E2F_TARGETS,E2F Targets,-0.973,0.56,0.689,104,TRUE,Ranbp1;Srsf2;Paics;Hmgb2;Psip1;Anp32e;Nasp;Stmn1;Dnmt1;Lbr;Gspt1;Cdkn1b;Jpt1;Hnrnpd;Cbx5;Rrm2;Smc1a;Nap1l1;Smc3;Ak2;Dut;Spc24;Nbn;Trip13;H2ax
PC1,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,-1.82,3.04e-4,0.00292,94,FALSE,Flna;Col3a1;Gpx7;Sparc;Col1a1;Capg;Calu;Mylk;Col1a2;Col5a2;Colgalt1;Cald1;Col5a1;Itga5;Sdc1;Fstl1;Eno2;Gpc1;Tpm4;Tpm1;Fbln1;Itgav;Cap2;Cdh11;Col12a1;Pdlim4;Cd44;Lrp1
PC1,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,-0.908,0.632,0.74,48,FALSE,Slc1a4;Farp1;Gab2;Bag1;Fkbp4;Amfr;Flnb;Cd44;Retreg1;Fhl2;Rab31;Dynlt3;Ncor2;Papss2
PC1,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,1.048,0.385,0.529,49,TRUE,Ugdh;Gale;Ccnd1;Gfus;Blvrb;Hprt1;Dhcr7;Slc29a1;Etfb;Fdft1;Idh2
PC1,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,FA Metabolism,2.173,7.38e-7,1.77e-5,97,TRUE,Idh3g;Acat2;Idi1;Metap1;Aldoa;Nsdhl;Ugdh;Aldh9a1;Dlst;Mdh2;Eci2;Acsl5;Blvra;Acsl1;Ldha;Acadm;Fasn;Adsl;Ywhah;Suclg2;Sms;Hsdl2;Fh;Echs1;Pdhb;Hibch;Alad;Hsph1;Acaa2;Cpox;Auh;Aldh3a2;Eno3;Ech1;Urod;Cpt2;Aldh3a1;Sucla2;Decr1;Rdh11;Cpt1a;Acads;Sdha;Hadhb;Bphl;Hsd17b10;Mdh1;Gstz1;Cbr3;Acox1;Dhcr24;Hmgcl
PC1,Hallmark,HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,-1.062,0.322,0.495,95,TRUE,Srsf2;Kif5b;Slc7a1;Upf1;Marcks;Nasp;Slc12a2;Stmn1;Lbr;Gspt1;Cdkn1b;Hspa8;Cbx1;Jpt1;Hnrnpd;Smc1a;Tle3;Sfpq;Chmp1a;Ewsr1;H2ax;Srsf10;G3bp1;Dtymk;Abl1;Ddx39a;Lig3;Hnrnpu;Kif15;Dmd;Srsf1;Notch2
PC1,Hallmark,HALLMARK_GLYCOLYSIS,Glycolysis,1.588,0.0031,0.0213,102,TRUE,Psmc4;Prps1;Eno1;Aldh7a1;Got2;Aldoa;Gfpt1;Nsdhl;Akr1a1;Aldh9a1;Rars1;Mdh2;Taldo1;Ppp2cb;Ldha;Gale;Pygb;Gfus;Ugp2;Pgk1;P4ha1;Me2;Mpi;Glrx;Hk2;Cdk1;Slc25a10;Fam162a;Ndufv3;Srd5a3;B4galt7;Pgam1;Gne;Ero1a;Agl;Tpi1;Gpc4;Bpnt1
PC1,Hallmark,HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,1.498,0.055,0.156,13,TRUE,Rasa1;Cdk6;Adgrg1;Pml;Rtn1;Dpysl2;Thy1
PC1,Hallmark,HALLMARK_HEME_METABOLISM,Heme Metabolism,0.988,0.479,0.605,77,TRUE,Prdx2;Nek7;Gmps;Blvra;Ypel5;Blvrb;Aldh6a1;Alad;Htatip2;Ccnd3;Cpox;Xpo7;Sdcbp;Mark3;Nudt4;Urod;Usp15;Ranbp10
PC1,Hallmark,HALLMARK_HYPOXIA,Hypoxia,1.145,0.189,0.347,85,TRUE,Eno1;Anxa2;Aldoa;Nagk;Lxn;Ldha;Ugp2;Gpi;Hexa;Slc25a1;Pgk1;P4ha1;Gapdh;Glrx;Hk2;Eno3;Pygm;Fam162a;Csrp2;Pgm1
PC1,Hallmark,HALLMARK_IL2_STAT5_SIGNALING,IL2 STAT5 Signaling,1.113,0.25,0.414,64,TRUE,Uck2;Pnp;Dcps;Plpp1;Umps;Snx9;Wls;Adam19;Gpx4;P4ha1;Gsto1;Casp3;Ccnd3;Rhob;Hk2;Eno3;Anxa4;Eef1akmt1;Igf2r;Rnh1;Glipr2
PC1,Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6 JAK STAT3 Signaling,-0.677,0.905,0.952,19,TRUE,Stam2;Stat1;Cd44;Cbl;Il6st;Hax1;Ptpn11;Ltbr;Jun;Fas
PC1,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,-0.982,0.472,0.605,34,TRUE,Slc7a1;Itga5;Icam1;Ldlr;Adrm1;Eif2ak2;Pvr;Atp2b1;Ripk2;Raf1;Tpbg;Rela
PC1,Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,-0.835,0.719,0.821,27,FALSE,Ogfr;Psme1;Cd47;Ifi35;Eif2ak2;Ripk2;Tdrd7;Gbp2;Wars1;Ncoa7;Rnf31;Pnpt1
PC1,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,1.068,0.354,0.515,48,FALSE,Psma3;Psmb2;Lap3;Psma2;Pnp;Stat3;Casp3;Nfkb1;Mthfd2;Psme2;Pml
PC1,Hallmark,HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,-0.744,0.818,0.892,14,TRUE,Tgfb2;Synpo;Itih3;Sphk2;Gprc5c
PC1,Hallmark,HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,-0.795,0.78,0.87,30,TRUE,Epb41l3;Akap12;Ccnd2;Peg3;Gypc;Strn;Adgra2;Cbl
PC1,Hallmark,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,-1.477,0.0105,0.0388,114,TRUE,Flna;Cdc42ep4;Cttn;Sptan1;Clip1;Bin1;Kif5b;Hdac6;Klc1;Epb41l2;Farp1;Ezr;Marcks;Sorbs2;Arhgef2;Flnb;Hook3;Cdc42ep1;Wasl;Ckap5;Smc1a;Ranbp9;Pxn;Rock1;Synpo;Cd2ap;Shroom1;Rabgap1;Smc3;Ppp4r2;Akap13;Anln;Stau1;Katnb1;Abl1;Arhgef12;Arhgap29;Clip2
PC1,Hallmark,HALLMARK_MTORC1_SIGNALING,MTORC1 Signaling,1.877,1.88e-5,3e-4,135,TRUE,Psmb5;Psma3;Psmc4;Psmd13;Eno1;Tuba4a;Bcat1;Idi1;Psph;Aldoa;Lta4h;Psma4;Atp2a2;Gmps;Pnp;Dhfr;Ube2d3;Ldha;Actr3;Gpi;Acsl3;Cacybp;Prdx1;Ppa1;Hprt1;Uchl5;Acaca;Psmd12;Sqle;Dhcr7;Pgk1;Nupr1;P4ha1;Serpinh1;Nup205;Shmt2;Mthfd2;Gapdh;Glrx;Tomm40;Hk2;Rpn1;Tubg1;Psmc6;Sec11a;Fads2;Pgm1;Rpa1;Psmd14;Qdpr;Rdh11;Hsp90b1;Ero1a;Tpi1;Slc7a5;Mcm2
PC1,Hallmark,HALLMARK_MYC_TARGETS_V1,MYC Targets V1,1.724,1.37e-4,0.00164,178,TRUE,Cdk4;Snrpd3;Prdx3;Psmc4;Rack1;Xpo1;Psmb2;Phb1;Got2;Psmb3;Psma6;Psma4;Slc25a3;Cct7;Psma2;Cct2;U2af1;Kpnb1;Aimp2;Rplp0;Cad;Ldha;Vdac3;Cct3;Psma7;Cdk2;Tomm70;Ncbp2;Pcbp1;Hprt1;Cct5;Ywhae;Vdac1;Psmd8;Eif2s1;Eif4a1;Bub3;Pgk1;Prdx4;Iars1;Psma1;Tcp1;Mcm7;Impdh2;Phb2;Cul1;Mrps18b;Trim28;Psmc6;Cyc1;Dek;Dhx15;Rps2;Rpl22;Eif1ax;Psmd14;Mcm6;Hsp90ab1;Ruvbl2;Rps5;Rfc4;Ncbp1;Ran;Nme1;Mcm2;Sf3b3;Mad2l1;Rps10
PC1,Hallmark,HALLMARK_MYC_TARGETS_V2,MYC Targets V2,1.169,0.24,0.411,29,TRUE,Cdk4;Phb1;Aimp2;Grwd1;Hk2;Rrp12;Bysl;Las1l;Prmt3;Tbrg4;Pa2g4
PC1,Hallmark,HALLMARK_MYOGENESIS,Myogenesis,-1.33,0.0556,0.156,96,FALSE,Col3a1;Sparc;Col1a1;Sptan1;Bin1;Mylk;Sorbs3;Cdh13;Ldb3;Smtn;Myh4;Fabp3;Bag1;Cnn3;Pdlim7;Ncam1;Ak1;Pfkm;Tnnc2;Igfbp7;Fst;Tpm3;Gaa;Mapre3;Tnnc1;Ctf1
PC1,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,2.215,3.01e-9,1.44e-7,161,TRUE,Uqcr10;Prdx3;Ldhb;Idh3g;Etfa;Slc25a12;Ndufa6;Atp5mg;Got2;Lrpprc;Slc25a3;Dlst;Mdh2;Vdac2;Cyb5r3;Cs;Uqcrc2;Oat;Ldha;Vdac3;Pmpca;Acadm;Atp5pb;Glud1;Tomm70;Oxa1l;Gpi;Slc25a11;Por;Vdac1;Ndufs2;Pdhx;Fh;Echs1;Gpx4;Atp5po;Aldh6a1;Rhot1;Atp6v1c1;Etfb;Idh2;Pdhb;Ndufb5;Ndufs3;Acaa2;Uqcrq;Slc25a20;Atp5mf;Uqcrc1;Atp5f1e;Atp5me;Phb2;Slc25a4;Atp6v0c;Atp5f1b;Idh3a;Ech1;Timm50;Cyc1;Tcirg1;Sucla2;Timm10;Nnt;Decr1;Slc25a5;Cpt1a;Atp5f1c;Ndufa5;Ndufs1;Sdha;Ndufa9;Uqcr11;Hadhb;Mrps30;Ogdh;Hsd17b10;Mdh1;Ndufa8;Cox7b
PC1,Hallmark,HALLMARK_P53_PATHWAY,p53 Pathway,0.733,0.935,0.955,66,TRUE,Sec61a1;Ldhb;Rack1;Ctsd;Bak1;Nupr1;Ccnd3;Pmm1;Fam162a;Rps27l;Elp1;F2r;Vwa5a;Apaf1;Epha2;Fuca1;Baiap2;Cyfip2;Abhd4;Stom;Dgka;Rap2b;Cdkn1a
PC1,Hallmark,HALLMARK_PEROXISOME,Peroxisome,1.57,0.0105,0.0388,53,TRUE,Slc35b2;Idi1;Aldh9a1;Abcd3;Eci2;Fis1;Acsl5;Acsl1;Pex13;Ywhah;Prdx1;Nudt19;Idh2;Fdps;Ctbp1;Slc25a4;Ech1
PC1,Hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,PI3K AKT mTOR Signaling,1.247,0.125,0.285,57,TRUE,Cdk4;Pfn1;Ppp1ca;Cab39;Cltc;Ube2d3;Cdk2;Actr3;Ywhab;Acaca;Dusp3;Ube2n;Rac1;Cdk1;Hsp90b1;Ecsit;Nck1;Prkar2a;Cab39l;Prkag1;Pten;Plcg1;Stat2;Arhgdia;Cdkn1a;Grb2;Pikfyve;Slc2a1
PC1,Hallmark,HALLMARK_PROTEIN_SECRETION,Protein Secretion,-1.242,0.103,0.248,76,TRUE,Vamp3;Arfgap3;Scamp1;Stam;Scrn1;Golga4;Uso1;Ap3s1;Sod1;Anp32e;Stx12;Stx7;Rab2a;Clta;Lman1;Vps4b;Cav2;Napg;Tpd52;M6pr;Snap23;Rab14;Arfip1
PC1,Hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,1.244,0.179,0.344,30,TRUE,Prdx2;Ndufa6;Ptpa;Nqo1;Prdx1;Ndufs2;Gpx4;Prdx4;Glrx
PC1,Hallmark,HALLMARK_SPERMATOGENESIS,Spermatogenesis,1.217,0.195,0.347,26,TRUE,Hspa2;Tsn;Gstm5;Taldo1;Vdac3;Tuba3a;Cdk1;Rfc4;Prkar2a
PC1,Hallmark,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,1.056,0.376,0.529,24,TRUE,Ppp1ca;Smurf1;Fnta;Ube2d3;Ctnnb1
PC1,Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFA Signaling Via NF-kB,-1.222,0.151,0.315,44,TRUE,Eif1;Marcks;Icam1;Ldlr;Tsc22d1;Cd44;Trip10;Sqstm1;Slc2a3;Litaf;Tubb2a;Ccn1;Atp2b1;Ripk2;Dnajb4;Rela;Tank;Il6st;Tnfaip8;Jag1;Nfkb2;Rel;Jun;F3;Fosl2
PC1,Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UPR,-1.177,0.161,0.321,71,FALSE,Khsrp;Bag3;Arfgap1;Eif4ebp1;Slc1a4;Kif5b;Hyou1;Preb;Hspa9;Edc4;Eif4g1;Asns;Banf1;Npm1;Calr;Dnaja4;Cnot2;H2ax;Hspa5;Ssr1;Tubb2a;Atp6v0d1;Fus;Dctn1
PC1,Hallmark,HALLMARK_UV_RESPONSE_DN,UV Response Dn,-1.59,0.00599,0.032,69,TRUE,Col3a1;Col1a1;Map1b;Col1a2;Col5a2;Adgrl2;Slc7a1;Tjp1;Rbpms;Mgmt;Ldlr;Cdkn1b;Ddah1;Cap2;Sdc2;Pex14;Atxn1;Col11a1;Fhl2;Fzd2;Ccn1;Dab2;Prkce;Prkar2b;Atp2b1;Mrps31;Nr3c1;Notch2;Nfib;Runx1;Mta1
PC1,Hallmark,HALLMARK_UV_RESPONSE_UP,UV Response Up,0.923,0.621,0.74,75,TRUE,Hspa2;Tuba4a;Aldoa;Bak1;Cdk2;Sigmar1;Atp6v1c1;Casp3;Ccnd3;Rhob;Cyb5r1;Slc25a4;Rpn1;Spr;Urod;Mmp14;Tmbim6
PC1,Hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,WNT Beta Catenin Signaling,0.453,0.996,0.996,12,TRUE,Ctnnb1;Cul1
PC1,Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,1.514,0.0178,0.0609,77,TRUE,Pycr1;Bcat1;Atp2a2;Ugdh;Aldh9a1;Aldh2;Nqo1;Sar1b;Blvrb;Hprt1;Por;Gart;Lonp1;Dhrs7;Gsto1;Shmt2;Comt;Mccc2;Pmm1;Ech1;Tmbim6;Nfs1;Aldh3a1;Tkfc;Bphl;Epha2;Acox1;Slc35b1;Fah;Ahcy;Vtn;Cyfip2;Maoa;Acp1;Gss;Plg
PC2,Hallmark,HALLMARK_ADIPOGENESIS,Adipogenesis,1.166,0.16,0.736,119,TRUE,Jagn1;Bckdha;Tkt;Cyc1;Mtch2;Rtn3;Retsat;Idh1;Coq9;Sdhb;Me1;Ndufa5;Sqor;Decr1;Cox7b;Hspb8;Araf;Idh3a;Rab34
PC2,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.774,0.825,0.886,42,TRUE,Dars1;Nme1;Csk;Npm1;Mrpl3;Galnt1;F2;Aars1;F2r;Ube2n;Gbp2;Abce1
PC2,Hallmark,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,0.928,0.565,0.847,43,TRUE,Ube2i;Rps6ka3;Elovl5;Pdlim5;Srp19;Gnai3;Plpp1;Slc38a2;Pgm3;Hmgcs1;Ube2j1;Idi1;Acsl3;Adrm1;Vapa;Fads1;Cdk6;Pa2g4;Uap1;Rrp12;Xrcc6;Tnfaip8
PC2,Hallmark,HALLMARK_ANGIOGENESIS,Angiogenesis,0.684,0.886,0.886,16,TRUE,Fstl1;Nrp1;Lpl;Col3a1;Vcan;App;Col5a2;Vtn;Lrpap1
PC2,Hallmark,HALLMARK_APICAL_JUNCTION,Apical Junction,-1.014,0.444,0.736,80,TRUE,Pten;Nf2;Arhgef6;Tsc1;Ctnnd1;Actn4;Exoc4;Crat;Jam3;Cap1;Pals1;Tubg1;Itga3;Tjp1;Parva;Cdh11;Rsu1;Ywhah;Icam1;Thy1;Slit2;Dlg1;Dhx16
PC2,Hallmark,HALLMARK_APICAL_SURFACE,Apical Surface,0.854,0.651,0.858,10,TRUE,Plaur;Afap1l2;Ephb4;Srpx
PC2,Hallmark,HALLMARK_APOPTOSIS,Apoptosis,-1.113,0.276,0.736,68,TRUE,Timp2;Ppt1;Ppp2r5b;Hspb1;Pak1;Dnajc3;Rock1;Xiap;Cdkn1a;Plat;Jun;Ppp3r1;Casp3;Dnm1l;Ccnd2;Gsr;Bax;Lgals3;Casp7;Bid
PC2,Hallmark,HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,-0.764,0.857,0.886,34,TRUE,Abca9;Prdx5;Paox;Gclm;Cat;Lonp2;Nedd4
PC2,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,1.058,0.364,0.736,43,TRUE,Plaur;Acss2;Anxa5;Niban1;Ldlr;Dhcr7;Fbxo6;Hmgcs1;Lgmn;Gpx8;Idi1;Lpl;Ctnnb1;S100a11;Fasn;Mvk;Alcam;Pmvk;Adh5;Fabp5;Ebp
PC2,Hallmark,HALLMARK_COAGULATION,Coagulation,1.281,0.129,0.736,33,TRUE,Adam9;Pef1;Lrp1;Crip2;Wdr1;Rabif;F2;Bmp1;Gng12;Ctsl;Prep;Lgmn;Gnb2
PC2,Hallmark,HALLMARK_COMPLEMENT,Complement,1.131,0.23,0.736,63,TRUE,Rhog;Pdp1;Adam9;Raf1;Col4a2;Plaur;Me1;Kif2a;Cd59;Lrp1;Anxa5;Psen1;Rabif;Grb2;F2;Gnai3;Ctsl;Gpd2;Prep;Ppp4c;Lgmn
PC2,Hallmark,HALLMARK_DNA_REPAIR,DNA Repair,-0.893,0.68,0.858,75,FALSE,Polr1c;Guk1;Rfc2;Sdcbp;Ssrp1;Zwint;Rala;Rfc3;Lig1;Ak3;Tsg101;Nelfe;Rnmt;Tmed2;Pold1;Eloa;Polr2e;Nelfb
PC2,Hallmark,HALLMARK_E2F_TARGETS,E2F Targets,-1.051,0.352,0.736,104,TRUE,Rad50;Ccne1;Mcm3;Smc4;Rfc2;Mcm2;Exosc8;Ssrp1;Asf1a;Rfc3;Lig1;Cdkn1a;Smc3;Shmt1;Anp32e;Hmga1;Msh2;Tubg1;Tfrc;Lyar;Gspt1;Mre11;Mcm6;Ilf3;Pold1;Nup153
PC2,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,1.271,0.0828,0.664,94,FALSE,Plod1;Tagln;Efemp2;Emp3;Col4a2;Plaur;Fstl1;Fbln1;Col11a1;Cadm1;Bgn;Cd59;Plod3;Copa;Lrp1;Pcolce;Fbln5;Tpm2;Notch2;Itgb5;Fuca1;Fermt2;Col5a1;Bmp1;Eno2
PC2,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,1.545,0.0225,0.461,48,TRUE,Fhl2;Wfs1;Elovl5;Dynlt3;Hspb8;Arl3;Papss2;Slc39a6;Myof;Dhcr7;Bag1;Gab2;Med24;Inpp5f;Mybbp1a;Rab31;Slc1a4;Slc7a5;Retreg1;Blvrb;Plaat3;Gja1;Cd44;Rhobtb3;Deptor;Fasn;Tpbg
PC2,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.84,0.739,0.858,49,FALSE,Wfs1;Elovl5;Dynlt3;Prkar2b;Hspb8;Arl3;Papss2;Myof;Dhcr7;Bag1;Rab31;Slc1a4;Slc7a5
PC2,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,FA Metabolism,0.797,0.88,0.886,97,FALSE,Hsd17b10;Cbr3;Retsat;Cryz;Elovl5;Idh1;Gcdh;Etfdh;Me1;Decr1;Bphl;Eci2;Bckdhb
PC2,Hallmark,HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,1.013,0.435,0.736,95,TRUE,Ewsr1;Cul5;Snrpd1;Srsf1;Pafah1b1;Cul1;Pola2;Prmt5;Prim2;Pds5b;Mcm5;Cdkn2c;Ddx39a;Rbm14;Notch2;Lig3;Chmp1a;Slc7a5;Tra2b;Slc7a1;Hnrnpu;Ncl;Sfpq;Slc25a3;G3bp1;Ctcf;Uck2;Smc1a;Tle3;Rasal2;H2ax;Jpt1;Xpo1;Nolc1;Cbx1;Kif4a;Rpa2;Numa1;Srsf10;Map3k20
PC2,Hallmark,HALLMARK_GLYCOLYSIS,Glycolysis,0.878,0.738,0.858,102,TRUE,Plod1;Copb2;Galk1;Idh1;Galk2;B4galt7;Vldlr;Me1;Kif2a;Gys1;Sdc2;Pgam1;Gmppa;Bpnt1;Pgam2;Fut8;Ugp2;Col5a1;Med24;Eno2;Glce;Pc;Aldoa;Ecd
PC2,Hallmark,HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,0.69,0.872,0.886,13,TRUE,Vldlr;Nrp1;Rtn1;Plg;Tle3;Adgrg1;Cdk6
PC2,Hallmark,HALLMARK_HEME_METABOLISM,Heme Metabolism,-1.117,0.268,0.736,77,TRUE,Ppp2r5b;Tns1;Sdcbp;Usp15;Gclc;Slc30a1;Bsg;Nnt;Rad23a;Daam1;Agpat4;Ppox;Picalm;Gclm;Cat;Tfrc;Hebp1;Arhgef12;Synj1;Myl4;Gde1
PC2,Hallmark,HALLMARK_HYPOXIA,Hypoxia,-0.781,0.885,0.886,85,TRUE,Gpc4;Prdx5;Plin2;Gapdh;Hspa5;Glrx;Cdkn1a;Tpd52;Pdk3;Jun;Tpst2;Pfkl;Fosl2;Cavin3;Pgk1;Hdlbp;Pkp1;Pgm1;Pgm2;P4ha1;Slc2a3;Ero1a;Hk2;Ldha
PC2,Hallmark,HALLMARK_IL2_STAT5_SIGNALING,IL2 STAT5 Signaling,-1.292,0.083,0.664,64,TRUE,Ccne1;Ahnak;Cdc42se2;Slc1a5;Plin2;Ahr;Ncs1;Huwe1;Casp3;Cd48;Itgav;Galm;Ccnd2;P4ha1;Ptrh2;Slc2a3;Plec;Myo1e;Ckap4;Hk2;Rhob;Serpinc1;Eef1akmt1
PC2,Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6 JAK STAT3 Signaling,0.835,0.677,0.858,19,TRUE,Ptpn1;Grb2;Bak1;Ltbr;Hmox1;Cd44;Fas;Stat3
PC2,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,-1.071,0.344,0.736,34,TRUE,Pvr;Nampt;Cd82;Ahr;Mmp14;Selenos;Abi1;Cdkn1a;Icoslg;Cd48;Atp2b1;Icam1;Eif2ak2
PC2,Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,-1.069,0.369,0.736,27,TRUE,Mvb12a;Cd47;Trafd1;Eif2ak2;Wars1;Gmpr;Pnpt1;Ifi35;Stat2
PC2,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,-1.017,0.431,0.736,48,FALSE,Nampt;Pla2g4a;Ptgs2;Cdkn1a;Tor1b;Casp3;Trafd1;Vamp8;Icam1;Eif2ak2;Wars1;Casp7;Pnpt1;Pml;Mvp;Ifi35;Stat2;Stat1;Myd88
PC2,Hallmark,HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,1.023,0.434,0.736,14,TRUE,Ckm;Itih3;Vps50;Myh7;Gamt
PC2,Hallmark,HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,-1.036,0.386,0.736,30,TRUE,Strn;Adgra2;Eng;Ptgs2;Glrx;Prrx1;Vwa5a;Plat
PC2,Hallmark,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,-1.367,0.0283,0.461,114,TRUE,Ccdc88a;Arhgap10;Sptbn1;Clip2;Nck2;Dst;Stau1;Smc4;Flnb;Katnb1;Cdc42;Wasf2;Rock1;Hook3;Tsc1;Akap13;Actn4;Abi1;Arfgef1;Ezr;Smc3;Abl1;Kif15;Abr;Ckap5;Arhgef12;Clasp1;Pxn;Arhgdia;Myo9b;Myo1e;Shroom1;Septin9;Dlg1;Clip1;Pcm1;Tubgcp3;Cd2ap;Arf6
