method,contrast,n_nonimputed,n_imputed,shared,jaccard,n_added,added_median_missing,added_frac_with_missing
imp4p,CTLvPHE,25,65,21,0.30434782608695654,44,0.5208333333333333,1
imp4p,CTLvMITO,67,99,63,0.6116504854368932,36,0.45833333333333337,1
imp4p,PHEvPHE_MITO,79,114,70,0.5691056910569106,44,0.4583333333333333,1
imp4p,CTLvPHE_MITO,67,103,60,0.5454545454545454,43,0.5,1
imp4p,Interaction,39,83,34,0.38636363636363635,49,0.4583333333333333,1
imp4p,MITOvPHE_MITO,28,54,26,0.4642857142857143,28,0.4583333333333333,1
mscoreutils,CTLvPHE,25,26,11,0.275,15,0.5833333333333334,1
mscoreutils,CTLvMITO,67,76,50,0.5376344086021505,26,0.5833333333333334,1
mscoreutils,PHEvPHE_MITO,79,85,65,0.6565656565656566,20,0.5833333333333334,1
mscoreutils,CTLvPHE_MITO,67,72,51,0.5795454545454546,21,0.625,1
mscoreutils,Interaction,39,44,19,0.296875,25,0.5833333333333334,1
mscoreutils,MITOvPHE_MITO,28,36,17,0.3617021276595745,19,0.625,1
missforest,CTLvPHE,25,12,12,0.48,0,NA,NA
missforest,CTLvMITO,67,54,51,0.7285714285714285,3,0.08333333333333333,0.6666666666666666
missforest,PHEvPHE_MITO,79,68,64,0.7710843373493976,4,0.0625,1
missforest,CTLvPHE_MITO,67,49,49,0.7313432835820896,0,NA,NA
missforest,Interaction,39,21,21,0.5384615384615384,0,NA,NA
missforest,MITOvPHE_MITO,28,20,17,0.5483870967741935,3,0.3333333333333333,1
