contrast,method,spearman_vs_nonimputed
CTLvMITO,imp4p,0.9730518551578684
CTLvPHE,imp4p,0.9579164652743017
CTLvPHE_MITO,imp4p,0.9648353294018079
Interaction,imp4p,0.9507325588438588
MITOvPHE_MITO,imp4p,0.9566790021345052
PHEvPHE_MITO,imp4p,0.9674719884735132
CTLvMITO,mscoreutils,0.9541687090490657
CTLvPHE,mscoreutils,0.9495724125015194
CTLvPHE_MITO,mscoreutils,0.9529664046490359
Interaction,mscoreutils,0.9528932695988374
MITOvPHE_MITO,mscoreutils,0.9612497778320216
PHEvPHE_MITO,mscoreutils,0.9563166079536279
CTLvMITO,missforest,0.9880193209209457
CTLvPHE,missforest,0.9809755852761037
CTLvPHE_MITO,missforest,0.9877757451096679
Interaction,missforest,0.981198784533785
MITOvPHE_MITO,missforest,0.9880792849643786
PHEvPHE_MITO,missforest,0.9881980427355359
