gene,localization
Acadm,Mitochondrial
Adh1c,Mitochondrial
Ak2,Mitochondrial
Akt1,Mitochondrial
Bcl2,Mitochondrial
Bdnf,Mitochondrial
Tspo,Mitochondrial
Calm1,Mitochondrial
Calm3,Mitochondrial
Cat,Mitochondrial
Ckb,Mitochondrial
Cyp11b2,Mitochondrial
Cyp1a1,Mitochondrial
Cyp1a2,Mitochondrial
Cyp2b1,Mitochondrial
Dhfr,Mitochondrial
Fh,Mitochondrial
Gck,Mitochondrial
Gja1,Mitochondrial
Gls,Mitochondrial
Glud1,Mitochondrial
Gpx1,Mitochondrial
Nr3c1,Mitochondrial
Gsta2,Mitochondrial
Gstm1,Mitochondrial
Gstm2,Mitochondrial
Gstp1,Mitochondrial
Hagh,Mitochondrial
Hmgcs2,Mitochondrial
Hsd3b5,Mitochondrial
Hspa1a,Mitochondrial
Idh1,Mitochondrial
Ivd,Mitochondrial
Ldha,Mitochondrial
Ldhb,Mitochondrial
Me1,Mitochondrial
Mpg,Mitochondrial
Myc,Mitochondrial
Ngfr,Mitochondrial
Nos1,Mitochondrial
Pccb,Mitochondrial
Pgk1,Mitochondrial
Plcd1,Mitochondrial
Ppp1cc,Mitochondrial
Ppp3ca,Mitochondrial
Prkca,Mitochondrial
Prnp,Mitochondrial
Ptpn1,Mitochondrial
Raf1,Mitochondrial
Acsm3,Mitochondrial
Slc9a1,Mitochondrial
Sod1,Mitochondrial
Sod2,Mitochondrial
Sord,Mitochondrial
Agxt,Mitochondrial
Tp53,Mitochondrial
Clu,Mitochondrial
Ucp1,Mitochondrial
Bax,Mitochondrial
Bcl2l1,Mitochondrial
Smcp,Mitochondrial
Dmd,Mitochondrial
Plaat3,Mitochondrial
Glul,Mitochondrial
Hspa1l,Mitochondrial
Acat1,Mitochondrial
Cyb5r3,Mitochondrial
Mobp,Mitochondrial
Hk1,Mitochondrial
Hk2,Mitochondrial
Hk3,Mitochondrial
Gpd2,Mitochondrial
Th,Mitochondrial
Cyp2e1,Mitochondrial
Pc,Mitochondrial
Stat3,Mitochondrial
Esr2,Mitochondrial
Fyn,Mitochondrial
Cdkn2a,Mitochondrial
Casp1,Mitochondrial
Slc25a5,Mitochondrial
Idh3g,Mitochondrial
Ccnb1,Mitochondrial
Grk2,Mitochondrial
Bckdha,Mitochondrial
Cnr1,Mitochondrial
Coq7,Mitochondrial
Cox8b,Mitochondrial
Abcd3,Mitochondrial
Rxra,Mitochondrial
Mapk10,Mitochondrial
Tst,Mitochondrial
Cnp,Mitochondrial
Cox6a2,Mitochondrial
Cyp24a1,Mitochondrial
Cox6a1,Mitochondrial
Gclc,Mitochondrial
Amacr,Mitochondrial
Acadl,Mitochondrial
Acsl1,Mitochondrial
Cck,Mitochondrial
Cycs,Mitochondrial
Cyct,Mitochondrial
Lipe,Mitochondrial
Phb1,Mitochondrial
Slc30a2,Mitochondrial
Acadvl,Mitochondrial
Ambp,Mitochondrial
Anxa1,Mitochondrial
Atp5if1,Mitochondrial
Camk2a,Mitochondrial
Cpt2,Mitochondrial
Cryab,Mitochondrial
Cyp1b1,Mitochondrial
Drd4,Mitochondrial
Hspe1,Mitochondrial
Vps35,Mitochondrial
Ndufa5,Mitochondrial
Nrdc,Mitochondrial
Pemt,Mitochondrial
Lypla1,Mitochondrial
Scp2,Mitochondrial
Star,Mitochondrial
Abcc9,Mitochondrial
Ywhah,Mitochondrial
Alpl,Mitochondrial
Parp1,Mitochondrial
Oprm1,Mitochondrial
Otc,Mitochondrial
Hspa5,Mitochondrial
Acadsb,Mitochondrial
Vamp1,Mitochondrial
Prkaca,Mitochondrial
Gckr,Mitochondrial
Ass1,Mitochondrial
Ide,Mitochondrial
Ucp3,Mitochondrial
Slc11a2,Mitochondrial
Got2,Mitochondrial
Alas2,Mitochondrial
Maob,Mitochondrial
Cpt1b,Mitochondrial
Cpt1a,Mitochondrial
mt-Cytb,Mitochondrial
mt-Nd1,Mitochondrial
mt-Nd2,Mitochondrial
mt-Co1,Mitochondrial
mt-Atp8,Mitochondrial
mt-Atp6,Mitochondrial
mt-Co2,Mitochondrial
mt-Nd3,Mitochondrial
mt-Nd4l,Mitochondrial
mt-Nd4,Mitochondrial
mt-Nd5,Mitochondrial
mt-Nd6,Mitochondrial
mt-Co3,Mitochondrial
Ogt,Mitochondrial
Acot7,Mitochondrial
Ak3,Mitochondrial
Gfer,Mitochondrial
Snn,Mitochondrial
Canx,Mitochondrial
Capn1,Mitochondrial
Aqp8,Mitochondrial
Fdx1,Mitochondrial
Psen1,Mitochondrial
Arg2,Mitochondrial
Snca,Mitochondrial
Ak4,Mitochondrial
Gch1,Mitochondrial
Maoa,Mitochondrial
Tyms,Mitochondrial
Cfl1,Mitochondrial
Coq3,Mitochondrial
Gpx4,Mitochondrial
Oprk1,Mitochondrial
Prkce,Mitochondrial
Sox10,Mitochondrial
Ptpmt1,Mitochondrial
Aadat,Mitochondrial
Hap1,Mitochondrial
Jtb,Mitochondrial
Cox4i1,Mitochondrial
Msra,Mitochondrial
Rab7a,Mitochondrial
Mecr,Mitochondrial
Ndufs6-ps1,Mitochondrial
Slc1a3,Mitochondrial
Pts,Mitochondrial
Slc22a3,Mitochondrial
Cox7a2,Mitochondrial
Sgk1,Mitochondrial
Aldh2,Mitochondrial
Nthl1,Mitochondrial
Pebp1,Mitochondrial
Pdha1,Mitochondrial
Bcat1,Mitochondrial
Ckmt1,Mitochondrial
Bckdk,Mitochondrial
Dbt,Mitochondrial
Hsd3b2,Mitochondrial
Ldhc,Mitochondrial
Timm44,Mitochondrial
Gpam,Mitochondrial
Cyp11a1,Mitochondrial
C1qbp,Mitochondrial
Kcnq3,Mitochondrial
Pla2g2a,Mitochondrial
Bckdhb,Mitochondrial
Eci1,Mitochondrial
Slc25a1,Mitochondrial
Ppp3r2,Mitochondrial
Atp5mc1,Mitochondrial
Bok,Mitochondrial
Ubc,Mitochondrial
Txnrd2,Mitochondrial
Mapk9,Mitochondrial
Calm2,Mitochondrial
Lipf,Mitochondrial
Gsk3a,Mitochondrial
Mapk3,Mitochondrial
App,Mitochondrial
Ca5a,Mitochondrial
Cdk1,Mitochondrial
Ssbp1,Mitochondrial
Timm17a,Mitochondrial
Timm23,Mitochondrial
Ucp2,Mitochondrial
Eif2s1,Mitochondrial
Cox6c,Mitochondrial
Pdp1,Mitochondrial
Ywhag,Mitochondrial
Tgm2,Mitochondrial
Mrpl37,Mitochondrial
Mtor,Mitochondrial
Ndufaf3,Mitochondrial
Prkn,Mitochondrial
Haao,Mitochondrial
Adap2,Mitochondrial
Txnrd1,Mitochondrial
Casp9,Mitochondrial
Dynll1,Mitochondrial
Sult4a1,Mitochondrial
Map2k2,Mitochondrial
Nme6,Mitochondrial
Degs1,Mitochondrial
Asl,Mitochondrial
Mb,Mitochondrial
Ntrk1,Mitochondrial
Kmo,Mitochondrial
Ago2,Mitochondrial
Ambra1,Mitochondrial
Adcy10,Mitochondrial
Erbb4,Mitochondrial
Smad5,Mitochondrial
Atxn3,Mitochondrial
Mapk12,Mitochondrial
Fhit,Mitochondrial
Mcl1,Mitochondrial
Bcl2l2,Mitochondrial
Acaca,Mitochondrial
Ppp2r2b,Mitochondrial
Capn10,Mitochondrial
Hsd17b10,Mitochondrial
Hspd1,Mitochondrial
Hibadh,Mitochondrial
Qtrt1,Mitochondrial
Cabs1,Mitochondrial
Slc22a4,Mitochondrial
Pmpcb,Mitochondrial
Slc25a11,Mitochondrial
Calr,Mitochondrial
Bcat2,Mitochondrial
Plec,Mitochondrial
Acads,Mitochondrial
Oat,Mitochondrial
Casp2,Mitochondrial
Hif3a,Mitochondrial
Nrgn,Mitochondrial
Mrpl23,Mitochondrial
Araf,Mitochondrial
Prdx3,Mitochondrial
Timm8b,Mitochondrial
Aldh1l1,Mitochondrial
