gene,localization
Surf1,Mitochondrial
Timm10,Mitochondrial
Mfn2,Mitochondrial
Thop1,Mitochondrial
Ech1,Mitochondrial
Synj2bp,Mitochondrial
Pnpo,Mitochondrial
Ndufv3,Mitochondrial
Bcl2l11,Mitochondrial
Bbox1,Mitochondrial
Bid,Mitochondrial
Snap23,Mitochondrial
Bad,Mitochondrial
Pln,Mitochondrial
Map1lc3b,Mitochondrial
Dnaja1,Mitochondrial
Clpb,Mitochondrial
Sfxn3,Mitochondrial
Arl2,Mitochondrial
Rida,Mitochondrial
Alas1,Mitochondrial
Dhodh,Mitochondrial
Rsad2,Mitochondrial
Atp5f1a,Mitochondrial
Golph3,Mitochondrial
Mrs2,Mitochondrial
Secisbp2,Mitochondrial
Fgr,Mitochondrial
Apex1,Mitochondrial
Fdxr,Mitochondrial
Anxa6,Mitochondrial
Dck,Mitochondrial
Gk,Mitochondrial
Hmgcl,Mitochondrial
Nr4a1,Mitochondrial
Aco2,Mitochondrial
Txn2,Mitochondrial
Timm22,Mitochondrial
Grpel1,Mitochondrial
Cyb5b,Mitochondrial
Lyn,Mitochondrial
Myoc,Mitochondrial
Ogg1,Mitochondrial
Pdk2,Mitochondrial
Abat,Mitochondrial
Creb1,Mitochondrial
Atf2,Mitochondrial
Mapk14,Mitochondrial
Dlat,Mitochondrial
Gabbr1,Mitochondrial
Gatm,Mitochondrial
Mipep,Mitochondrial
Mmp2,Mitochondrial
Aldh6a1,Mitochondrial
Ndufv2,Mitochondrial
Pde2a,Mitochondrial
Pi4kb,Mitochondrial
Rala,Mitochondrial
Suox,Mitochondrial
Mdh2,Mitochondrial
Hip1r,Mitochondrial
Rack1,Mitochondrial
Dynlt1,Mitochondrial
Tfam,Mitochondrial
Vdac1,Mitochondrial
Vdac2,Mitochondrial
Vdac3,Mitochondrial
Aifm1,Mitochondrial
Clic4,Mitochondrial
Lgals3,Mitochondrial
Nme2,Mitochondrial
Agxt2,Mitochondrial
Fdps,Mitochondrial
Src,Mitochondrial
Rps6kb1,Mitochondrial
Ralbp1,Mitochondrial
Synj2,Mitochondrial
Gsk3b,Mitochondrial
Timm8a1,Mitochondrial
Timm10b,Mitochondrial
Kcnk9,Mitochondrial
Ilf3,Mitochondrial
Ddx1,Mitochondrial
Bnip3,Mitochondrial
Fen1,Mitochondrial
Fads1,Mitochondrial
Pick1,Mitochondrial
Nfs1,Mitochondrial
Cox4i2,Mitochondrial
Mlycd,Mitochondrial
Slc44a1,Mitochondrial
Mterf1,Mitochondrial
Slc25a27,Mitochondrial
Slc25a14,Mitochondrial
Abcg1,Mitochondrial
Nme3,Mitochondrial
Slc25a4,Mitochondrial
Ngb,Mitochondrial
Nol3,Mitochondrial
Nox4,Mitochondrial
Polg,Mitochondrial
Cox17,Mitochondrial
Pdk4,Mitochondrial
Mbtps1,Mitochondrial
Slc27a1,Mitochondrial
Idh3b,Mitochondrial
Cox5b,Mitochondrial
Atp5pf,Mitochondrial
Clic5,Mitochondrial
Acsl5,Mitochondrial
Sqstm1,Mitochondrial
Prdx5,Mitochondrial
Pecr,Mitochondrial
Mrps7,Mitochondrial
Hadh,Mitochondrial
Acsl4,Mitochondrial
Gfm1,Mitochondrial
Glrx2,Mitochondrial
Acsl3,Mitochondrial
Dao,Mitochondrial
Idh3a,Mitochondrial
Asah2,Mitochondrial
Dnm1l,Mitochondrial
Sardh,Mitochondrial
Akap1,Mitochondrial
Yme1l1,Mitochondrial
Braf,Mitochondrial
Bik,Mitochondrial
Bcl2l10,Mitochondrial
Pi4k2a,Mitochondrial
Casp4,Mitochondrial
Becn1,Mitochondrial
Suclg1,Mitochondrial
Atp5mc3,Mitochondrial
Trafd1,Mitochondrial
Cyp27b1,Mitochondrial
Phb2,Mitochondrial
Mapk8ip1,Mitochondrial
Akr1b7,Mitochondrial
Bak1,Mitochondrial
Atp5f1c,Mitochondrial
Pdk1,Mitochondrial
Mapk8,Mitochondrial
Mapk1,Mitochondrial
Atp2a1,Mitochondrial
Kynu,Mitochondrial
Gsr,Mitochondrial
Acacb,Mitochondrial
Crym,Mitochondrial
Slc25a20,Mitochondrial
Mt3,Mitochondrial
Nln,Mitochondrial
Hmga1,Mitochondrial
Pdha2,Mitochondrial
Bdh1,Mitochondrial
Sh3bp5,Mitochondrial
Acsl6,Mitochondrial
Prdx1,Mitochondrial
Nudt1,Mitochondrial
Hrk,Mitochondrial
Park7,Mitochondrial
Oxr1,Mitochondrial
Decr1,Mitochondrial
Kif1b,Mitochondrial
Kif5b,Mitochondrial
Slc8a3,Mitochondrial
Echs1,Mitochondrial
Atp5me,Mitochondrial
Rps3,Mitochondrial
Abcb6,Mitochondrial
Napa,Mitochondrial
Bnip3l,Mitochondrial
Bnip1,Mitochondrial
Higd1a,Mitochondrial
Ddit4,Mitochondrial
Cfh,Mitochondrial
Eya2,Mitochondrial
Sdha,Mitochondrial
Acaa2,Mitochondrial
Ifi27,Mitochondrial
Prkcd,Mitochondrial
Cs,Mitochondrial
Hadha,Mitochondrial
Mutyh,Mitochondrial
Kcnq2,Mitochondrial
Map2k1,Mitochondrial
Tmlhe,Mitochondrial
Lonp1,Mitochondrial
Cry2,Mitochondrial
Agpat4,Mitochondrial
Bcl2a1,Mitochondrial
Slc25a10,Mitochondrial
Mmp3,Mitochondrial
Mrpl17,Mitochondrial
Atp5mk,Mitochondrial
Ppp1r15a,Mitochondrial
Sult1c2,Mitochondrial
Atp5mc2,Mitochondrial
Trak2,Mitochondrial
Mpc1,Mitochondrial
Gper1,Mitochondrial
Opa1,Mitochondrial
Ppp6c,Mitochondrial
Rab29,Mitochondrial
Gcsh,Mitochondrial
Timm9,Mitochondrial
Slc25a21,Mitochondrial
Hadhb,Mitochondrial
Slc6a13,Mitochondrial
Glyatl2,Mitochondrial
Usp15,Mitochondrial
Cox8a,Mitochondrial
Mgst1,Mitochondrial
Atp5f1b,Mitochondrial
Atp5pb,Mitochondrial
Ppp3cc,Mitochondrial
Spata19,Mitochondrial
Tmem14c,Mitochondrial
Micu2,Mitochondrial
Akr7a2,Mitochondrial
Mtarc2,Mitochondrial
Cyp2d4,Mitochondrial
Klc3,Mitochondrial
Nme1,Mitochondrial
Mpst,Mitochondrial
Hyou1,Mitochondrial
Atp5po,Mitochondrial
Dctpp1,Mitochondrial
Ubb,Mitochondrial
Gls2,Mitochondrial
Acot2,Mitochondrial
Oas1a,Mitochondrial
Nos1ap,Mitochondrial
Mfn1,Mitochondrial
Nudt6,Mitochondrial
Atp5f1e,Mitochondrial
Slc25a3,Mitochondrial
Dmgdh,Mitochondrial
Atp5f1d,Mitochondrial
Tax1bp1,Mitochondrial
Acsm2,Mitochondrial
Pdp2,Mitochondrial
Nrp1,Mitochondrial
Slc25a25,Mitochondrial
Gimap5,Mitochondrial
Cdk5rap1,Mitochondrial
Stx17,Mitochondrial
Dgat2,Mitochondrial
Rab38,Mitochondrial
Timm13,Mitochondrial
Cox5a,Mitochondrial
Slc35a4,Mitochondrial
Fkbp4,Mitochondrial
Sfxn5,Mitochondrial
Tomm20,Mitochondrial
Cyp2d1,Mitochondrial
Dhrs4,Mitochondrial
Pycard,Mitochondrial
Ppif,Mitochondrial
Elac2,Mitochondrial
Brinp3,Mitochondrial
Vps54,Mitochondrial
Cox6c-ps1,Mitochondrial
Magmas-ps1,Mitochondrial
Trap1,Mitochondrial
Zfp13,Mitochondrial
Mrps34,Mitochondrial
Antkmt,Mitochondrial
Stub1,Mitochondrial
Rhot2,Mitochondrial
Mrpl22,Mitochondrial
Mrpl55,Mitochondrial
Nlrp3,Mitochondrial
Pld6,Mitochondrial
Shmt1,Mitochondrial
Poldip2,Mitochondrial
Sarm1,Mitochondrial
Tefm,Mitochondrial
Ptrh2,Mitochondrial
Septin4,Mitochondrial
Tspoap1,Mitochondrial
Lrrc59,Mitochondrial
Mrpl27,Mitochondrial
Mrpl45,Mitochondrial
Cisd3,Mitochondrial
Ccr7,Mitochondrial
Cavin1,Mitochondrial
Coasy,Mitochondrial
Vat1,Mitochondrial
Higd1b,Mitochondrial
Mtnap1,Mitochondrial
Pycr1,Mitochondrial
Yars2,Mitochondrial
Mrpl40,Mitochondrial
Parl,Mitochondrial
Plaat1,Mitochondrial
Mix23,Mitochondrial
Polq,Mitochondrial
Mtx2,Mitochondrial
Qtrt2,Mitochondrial
Fis1,Mitochondrial
Mrps17,Mitochondrial
Pgam5,Mitochondrial
Iscu,Mitochondrial
Diablo,Mitochondrial
Bloc1s1,Mitochondrial
Trmt1,Mitochondrial
Gadd45gip1,Mitochondrial
Mrps14,Mitochondrial
Mettl13,Mitochondrial
Tmco1,Mitochondrial
Sdhc,Mitochondrial
Ndufs2,Mitochondrial
Ppox,Mitochondrial
Nit1,Mitochondrial
Pld5,Mitochondrial
Adss2,Mitochondrial
Cox20,Mitochondrial
Tfb2m,Mitochondrial
Kif28,Mitochondrial
Acbd3,Mitochondrial
Nenf,Mitochondrial
G0s2,Mitochondrial
Mrps18c,Mitochondrial
Gk2,Mitochondrial
Mrpl1,Mitochondrial
Cox18,Mitochondrial
Noa1,Mitochondrial
Spata18,Mitochondrial
Apex2l1,Mitochondrial
Nat8l,Mitochondrial
Mtfp1,Mitochondrial
Oxsm,Mitochondrial
Pdhb,Mitochondrial
Cycsl3,Mitochondrial
Tdh,Mitochondrial
Phyhip,Mitochondrial
Dnajc15,Mitochondrial
Vwa8,Mitochondrial
Slmap,Mitochondrial
Chdh,Mitochondrial
Ogdhl,Mitochondrial
Ghitm,Mitochondrial
Mrpl34,Mitochondrial
Gtpbp3,Mitochondrial
Mpv17l2,Mitochondrial
Fkbp8,Mitochondrial
Mrps31,Mitochondrial
Arglu1,Mitochondrial
Fastkd3,Mitochondrial
Isca1,Mitochondrial
Agtpbp1,Mitochondrial
Prelid1,Mitochondrial
Higd2a,Mitochondrial
Mcur1,Mitochondrial
Eci2,Mitochondrial
Uqcrfs1,Mitochondrial
Aldh5a1,Mitochondrial
Acot13,Mitochondrial
Hax1,Mitochondrial
Mrpl32,Mitochondrial
Aldh7a1,Mitochondrial
Gykl1,Mitochondrial
Ftmt,Mitochondrial
Cidea,Mitochondrial
Slc25a2,Mitochondrial
Ndufa2,Mitochondrial
Hspa9,Mitochondrial
Slc25a46,Mitochondrial
Tk2,Mitochondrial
Mmaa,Mitochondrial
Pgrmc1,Mitochondrial
Kars1,Mitochondrial
Wwox,Mitochondrial
Spata33,Mitochondrial
Sh3glb1,Mitochondrial
Tmem242,Mitochondrial
Mrpl18,Mitochondrial
Rmnd1,Mitochondrial
Rnaset2,Mitochondrial
Tmem160,Mitochondrial
Ethe1,Mitochondrial
Mrps12,Mitochondrial
Sars2,Mitochondrial
Cep89,Mitochondrial
Etfb,Mitochondrial
Irf3,Mitochondrial
Htatip2,Mitochondrial
Perp,Mitochondrial
Mrpl46,Mitochondrial
Tmem135,Mitochondrial
Tmem126a,Mitochondrial
Tmem126b,Mitochondrial
Nars2,Mitochondrial
Ndufc2,Mitochondrial
Mrpl48,Mitochondrial
Uqcrc2,Mitochondrial
Ndufab1,Mitochondrial
Tufm,Mitochondrial
Sirt3,Mitochondrial
Ndufs8,Mitochondrial
Ndufv1,Mitochondrial
Mrpl11,Mitochondrial
Lgals12,Mitochondrial
Mrpl16,Mitochondrial
Glyat,Mitochondrial
Bloc1s2,Mitochondrial
Hoga1,Mitochondrial
Ndufb8,Mitochondrial
Sfxn2,Mitochondrial
Marchf5,Mitochondrial
Trim31,Mitochondrial
Mrps18b,Mitochondrial
Ier3,Mitochondrial
Ddah2,Mitochondrial
Cuta,Mitochondrial
Armc12,Mitochondrial
Mtch1,Mitochondrial
Gatd3a,Mitochondrial
Col6a1,Mitochondrial
Cisd1,Mitochondrial
Supv3l1,Mitochondrial
Ppa1,Mitochondrial
Foxo3,Mitochondrial
Mcu,Mitochondrial
Wasf1,Mitochondrial
Gfm2,Mitochondrial
Kgd4,Mitochondrial
Mrps30,Mitochondrial
Armc1,Mitochondrial
Mrpl47,Mitochondrial
Ndufb5,Mitochondrial
Mccc1,Mitochondrial
Acad9,Mitochondrial
Spart,Mitochondrial
Etfdh,Mitochondrial
S100a1,Mitochondrial
Slc27a3,Mitochondrial
Mrpl24,Mitochondrial
Naxe,Mitochondrial
Msto1,Mitochondrial
Dap3,Mitochondrial
Mtx1,Mitochondrial
Acp6,Mitochondrial
Gstm5l,Mitochondrial
Cisd2,Mitochondrial
Mcub,Mitochondrial
Tmx2,Mitochondrial
Mtch2,Mitochondrial
Ndufs3,Mitochondrial
Mettl15,Mitochondrial
Ndufaf1,Mitochondrial
Secisbp2l,Mitochondrial
Stard7,Mitochondrial
Gpat2,Mitochondrial
Fahd2a,Mitochondrial
Mrps5,Mitochondrial
Chchd5,Mitochondrial
Pank2,Mitochondrial
Ndufaf5,Mitochondrial
Mgme1,Mitochondrial
Smim26,Mitochondrial
Acss1,Mitochondrial
Snph,Mitochondrial
Rab5if,Mitochondrial
Znfx1,Mitochondrial
Mims2,Mitochondrial
Mtg2,Mitochondrial
Hat1,Mitochondrial
Mrpl41,Mitochondrial
Dnlz,Mitochondrial
Pmpca,Mitochondrial
Miga2,Mitochondrial
Mapkap1,Mitochondrial
Stom,Mitochondrial
Ndufa8,Mitochondrial
Fastk,Mitochondrial
Armc10,Mitochondrial
Slc25a40,Mitochondrial
Pdk3,Mitochondrial
Aass,Mitochondrial
Chchd3,Mitochondrial
Akr1b10,Mitochondrial
Mrps33,Mitochondrial
Gstk1,Mitochondrial
Malsu1,Mitochondrial
Gars1,Mitochondrial
Mrpl35,Mitochondrial
Mrpl19,Mitochondrial
Htra2,Mitochondrial
Bola3,Mitochondrial
Dguok,Mitochondrial
Timcc,Mitochondrial
Nfu1,Mitochondrial
Chchd6,Mitochondrial
Txnrd3,Mitochondrial
Mrps25,Mitochondrial
Nampt,Mitochondrial
Mrpl51,Mitochondrial
Mrps35,Mitochondrial
Lactb2,Mitochondrial
Mrpl15,Mitochondrial
Ndufaf6,Mitochondrial
Cibar1,Mitochondrial
Rars2,Mitochondrial
Ndufb6,Mitochondrial
Aldh1b1,Mitochondrial
Trmt10b,Mitochondrial
Dmac1,Mitochondrial
Stoml2,Mitochondrial
Hspd1l2,Mitochondrial
Oma1,Mitochondrial
Slc25a43,Mitochondrial
Coa7,Mitochondrial
Echdc2,Mitochondrial
Nsun4,Mitochondrial
Mrps15,Mitochondrial
Mtfr1l,Mitochondrial
Pink1,Mitochondrial
Mul1,Mitochondrial
Sdhb,Mitochondrial
Slc25a34,Mitochondrial
Agmat,Mitochondrial
Tardbp,Mitochondrial
Atad3a,Mitochondrial
Plekhn1,Mitochondrial
Ndufaf7,Mitochondrial
Cox7a2l,Mitochondrial
Slc35f6,Mitochondrial
Rnaseh1,Mitochondrial
Dld,Mitochondrial
Nubpl,Mitochondrial
Prorp,Mitochondrial
Zfyve1,Mitochondrial
Coq6,Mitochondrial
Dlst,Mitochondrial
Moap1,Mitochondrial
Ifi27l2a,Mitochondrial
Ndufb11,Mitochondrial
Slc25a47,Mitochondrial
Hsp90aa1,Mitochondrial
Coa8,Mitochondrial
Mterf3,Mitochondrial
Polrmt,Mitochondrial
Mrpl54,Mitochondrial
Cry1,Mitochondrial
Aldh1l2,Mitochondrial
Ndufa12,Mitochondrial
Mrpl42,Mitochondrial
Atp23,Mitochondrial
Shmt2,Mitochondrial
Cyrib,Mitochondrial
Mrpl13,Mitochondrial
Rrm2b,Mitochondrial
Top1mt,Mitochondrial
Cyc1,Mitochondrial
Tomm22,Mitochondrial
Ndufb11b,Mitochondrial
Samm50,Mitochondrial
Trabd,Mitochondrial
Lrrk2,Mitochondrial
Kansl2,Mitochondrial
Myg1,Mitochondrial
Ecsit,Mitochondrial
Atp5mg,Mitochondrial
Rexo2,Mitochondrial
Etfa,Mitochondrial
Clpx,Mitochondrial
Lactb,Mitochondrial
Khdc3,Mitochondrial
Gsta4,Mitochondrial
Mto1,Mitochondrial
Mthfs,Mitochondrial
Mrpl3,Mitochondrial
Uqcrc1,Mitochondrial
Exog,Mitochondrial
Slc25a38,Mitochondrial
Slc25a23,Mitochondrial
Slc25a41,Mitochondrial
Clpp,Mitochondrial
Acsbg2,Mitochondrial
Ndufa11,Mitochondrial
Micos13,Mitochondrial
Mocs1,Mitochondrial
Mrpl2,Mitochondrial
Mrps18a,Mitochondrial
Mrpl14,Mitochondrial
Aars2,Mitochondrial
Mrpl30,Mitochondrial
Mrps9,Mitochondrial
Hibch,Mitochondrial
Coq10b,Mitochondrial
Maip1,Mitochondrial
Ndufb3,Mitochondrial
Nif3l1,Mitochondrial
Ndufs1,Mitochondrial
Fastkd2,Mitochondrial
Bcs1l,Mitochondrial
Cyp27a1,Mitochondrial
Mrpl44,Mitochondrial
Mff,Mitochondrial
Dtymk,Mitochondrial
D2hgdh,Mitochondrial
Tert,Mitochondrial
Tusc2l1,Mitochondrial
Abcb7,Mitochondrial
Acot9,Mitochondrial
Ca5b,Mitochondrial
Phb1l1,Mitochondrial
Dusp21,Mitochondrial
C3h15orf48,Mitochondrial
Fahd1,Mitochondrial
Spsb3,Mitochondrial
Thg1l,Mitochondrial
Irgm,Mitochondrial
Guk1,Mitochondrial
Atpaf2,Mitochondrial
Top3a,Mitochondrial
Tmem11,Mitochondrial
Mpdu1,Mitochondrial
Neurl4,Mitochondrial
Wdr81,Mitochondrial
Rnf135,Mitochondrial
Rhot1,Mitochondrial
Lig3,Mitochondrial
Cox7b,Mitochondrial
Nbr1,Mitochondrial
Nags,Mitochondrial
Polg2,Mitochondrial
Mrpl58,Mitochondrial
Slc25a19,Mitochondrial
Mrpl38,Mitochondrial
Pgs1,Mitochondrial
Mrpl12,Mitochondrial
Aifm3,Mitochondrial
Zdhhc8,Mitochondrial
Timmdc1,Mitochondrial
Abhd10,Mitochondrial
Trmt10c,Mitochondrial
Tomm70,Mitochondrial
Cpox,Mitochondrial
Ptcd1,Mitochondrial
Tnrc18,Mitochondrial
Mrm2,Mitochondrial
Cox19,Mitochondrial
Pptc7,Mitochondrial
Sirt4,Mitochondrial
Coq5,Mitochondrial
Tchp,Mitochondrial
Pus1,Mitochondrial
Ung,Mitochondrial
Usp30,Mitochondrial
Orai2,Mitochondrial
Tmem177,Mitochondrial
Cyb5r1,Mitochondrial
Dars2,Mitochondrial
Tomm40l,Mitochondrial
Aim2,Mitochondrial
Angel2,Mitochondrial
Nudt9,Mitochondrial
Mthfd2l,Mitochondrial
Grsf1,Mitochondrial
Stap1,Mitochondrial
Guf1,Mitochondrial
Lias,Mitochondrial
Slc25a52,Mitochondrial
Dok7,Mitochondrial
Letm1,Mitochondrial
Dusp18,Mitochondrial
Ccm2,Mitochondrial
Efemp1,Mitochondrial
Mtif2,Mitochondrial
Abhd6,Mitochondrial
Ttc5,Mitochondrial
Mettl17,Mitochondrial
Sacs,Mitochondrial
Slc25a37,Mitochondrial
Ccar2,Mitochondrial
Acod1,Mitochondrial
Clybl,Mitochondrial
Pde12,Mitochondrial
Nxnl1,Mitochondrial
Mtus1,Mitochondrial
Slc25a15,Mitochondrial
Agpat5,Mitochondrial
Amt,Mitochondrial
Cln8,Mitochondrial
Sirt5,Mitochondrial
Fars2,Mitochondrial
Ripk1,Mitochondrial
Mtpap,Mitochondrial
Pitrm1,Mitochondrial
Timm21,Mitochondrial
Rbfa,Mitochondrial
Me2,Mitochondrial
Mims1,Mitochondrial
Spire1,Mitochondrial
Afg3l2,Mitochondrial
Napg,Mitochondrial
Arhgap26,Mitochondrial
Dele1,Mitochondrial
Taf7,Mitochondrial
Hars2,Mitochondrial
Cdc25c,Mitochondrial
Ciapin1,Mitochondrial
Pdpr,Mitochondrial
Ldhd,Mitochondrial
Disc1,Mitochondrial
Pdzd8,Mitochondrial
Ccdc127,Mitochondrial
Fndc1,Mitochondrial
Tfb1m,Mitochondrial
Nlrp5,Mitochondrial
Dmpk,Mitochondrial
Opa3,Mitochondrial
Tomm40,Mitochondrial
Coq8b,Mitochondrial
