pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
(E.F.G) complex,0.012571846316436364,0.5139155928047979,0.3807304007227924,-0.9066805845511483,-1.5891353225393545,3,Snrpg;Snrpe;Snrpf,CORUM,CTLvPHE
"(ER)-localized multiprotein complex, Ig heavy chains associated",0.054302076429394205,0.6170082274523818,0.3217759180753611,0.6371336527849701,1.5659006607449784,9,Dnajb11;Hspa5;Hyou1;Sdf2l1;P4hb,CORUM,CTLvPHE
12S U11 snRNP,0.15853658536585366,0.7339840283939663,0.15740289930528326,-0.524467495858171,-1.3036069408045623,9,Snrpg;Snrpe;Snrpf;Snrpd3,CORUM,CTLvPHE
17S U2 snRNP,0.09480812641083522,0.7212276214833759,0.21925034670375515,-0.3907441530364999,-1.3537141233864205,30,Snrpg;Dhx15;U2af2;Sf3b3;Snrpe;Snrpf;Sf3b6;U2af1;Snrpd3;Cherp,CORUM,CTLvPHE
18S U11/U12 snRNP,0.03369157802035848,0.6170082274523818,0.3217759180753611,-0.5514906191379677,-1.6135614777081244,15,Snrpg;Dhx15;Sf3b3;Snrpe;Snrpf;Sf3b6;Snrpd3;Prpf8,CORUM,CTLvPHE
20S methylosome and RG-containing Sm protein complex,0.40733590733590735,0.8218742548287099,0.08835944425009051,-0.5213152016610367,-1.083987501106993,5,Snrpd3;Snrpd2;Snrpd1;Clns1a,CORUM,CTLvPHE
20S methylosome-SmD complex,0.5205479452054794,0.8694548335151422,0.07588869006061172,-0.5034591181215692,-0.9802644174487791,4,Snrpd3;Snrpd1;Clns1a,CORUM,CTLvPHE
20S proteasome,0.0010910558944591045,0.376050598290238,0.45505986738722953,-0.6691971900626354,-1.926118480595173,14,Psma2;Psma5;Psmb2;Psma3;Psma4;Psmb1;Psma6;Psma1;Psmb5;Psma7,CORUM,CTLvPHE
"28S ribosomal subunit, mitochondrial",0.8055045871559633,0.9309082908254903,0.05163559644842005,0.24641975353642565,0.772620823862392,21,Mrps2;Mrps25;Mrps6;Mrps14;Mrps30;Mrps27;Mrps28;Dap3;Mrps9;Mrps15,CORUM,CTLvPHE
3'-End Processing complex,0.6694214876033058,0.8943279414888774,0.06598161440087301,0.4076307332749759,0.8267186872946671,5,Eri1;Hnrnpr,CORUM,CTLvPHE
