pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,0.1774891774891775,0.7082582489281055,0.15315880868307333,0.2716201385427493,1.173134701010055,77,Csnk2b;Fzd2;Psma2;Gsk3b;Runx3;Ctnnbip1;Csnk2a1;Ctbp1;Psmd12;Wdr5;Psma5;Bcl9l;Ctnnb1;Psmb1;Ywhaz;Psmc4;Psmd6;Hdac1;Ppp2r5d;Fzd1;Psmb2;Psmd1;Psma3;Chd8;Psma6;Xpo1;Dpy30;Rnf146,Reactome,Interaction
REACTOME_TCR_SIGNALING,0.649890590809628,0.998387230858758,0.07028128417173922,0.221467491798865,0.8926801544048908,54,Nck1;Nfkb1;Psma2;Psmd12;Pak3;Psma5;Psmb1;Psmc4;Ube2n;Psmd6;Cdc34;Psmb2;Psmd1;Psma3,Reactome,Interaction
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,0.48723404255319147,0.9528225806451612,0.08383610571599288,0.3308148769589531,0.9788539594370098,16,Rpa1;Pola2;Rfc1;Ten1,Reactome,Interaction
REACTOME_TELOMERE_MAINTENANCE,0.9079189686924494,1,0.04632277857946331,-0.20050062888115033,-0.7043260179927672,32,Lig1;Polr2g;Fen1;Nhp2;Dkc1;Polr2b;Ppp6c;H2ax,Reactome,Interaction
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,0.6324435318275154,0.989602074191647,0.06847149044920875,0.3125315103748631,0.8631722420301421,12,Rpa1;Rfc1;Rfc5;Pcna;Pold1;Rpa2;Trim25,Reactome,Interaction
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,0.26492537313432835,0.8005353666450357,0.11237851911047504,-0.3431118960361569,-1.1255044874282467,25,Ltbp1;Ppp1cc;Fkbp1a;Fbn1;Stub1;Tgfb3;Rps27a,Reactome,Interaction
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.14192139737991266,0.6687143808748427,0.1737478389995708,0.3248231376930521,1.2332219099854362,43,Hsp90ab1;Psma2;Psmd12;Psma5;Psmb1;Psmc4;Mapre1;Psmd6;Tuba3a;Psmb2;Psmd1;Psma3;Psma6;Psmc1;Tubb4b;Psmd13;Psmb5;Psma4;Psma7;Tuba4a;Psma1;Tubb3;Psmc6,Reactome,Interaction
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,0.18541666666666667,0.7228069548435517,0.14641623786055022,0.4375244312856007,1.258951849438907,14,Ap2a1;Rac1;Ap2s1;Ap1m1;Ap2b1;Ap1s2,Reactome,Interaction
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,0.9789272030651341,1,0.04468543976441472,-0.19344893349392497,-0.5503363670372938,14,Gnaq;F2;Mapk1;Gng12,Reactome,Interaction
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR,0.9569471624266145,1,0.04669480412820537,-0.22091024119724695,-0.5715741427471814,10,Gnaq,Reactome,Interaction
REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY,0.65625,0.998387230858758,0.06736238681662789,0.29835428562689714,0.8584976125203361,14,Usp4;Rnf31;Rack1,Reactome,Interaction
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING,0.12830957230142567,0.6534474445515912,0.17669426893849804,0.5301985106990983,1.38235334540384,10,Casp8;Usp4;Rnf31,Reactome,Interaction
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.2172043010752688,0.7631655202916012,0.13649043778041264,0.31076814269056924,1.1619618486197696,39,Ube2m;Psma2;Psmd12;Psma5;Ltbr;Psmb1;Psmc4;Psmd6;Psmb2;Psmd1;Psma3;Psma6,Reactome,Interaction
REACTOME_TNF_SIGNALING,0.7402597402597403,1,0.05605958750323349,-0.24618856060628797,-0.8277277712165824,27,Tax1bp1;Tbk1;Stub1;Rps27a,Reactome,Interaction
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,0.9744525547445255,1,0.04267338611560842,-0.17378807515684627,-0.6461763759246018,41,Rela;Ikbip;Rps27a;Eea1;Ppp2ca;Tab1,Reactome,Interaction
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,0.6471663619744058,0.998387230858758,0.06170540536375225,-0.22709392318766247,-0.9037915540108907,57,Irf3;Tbk1;Rela;Cnpy3;Ikbip;Rps27a;Eea1;Ppp2ca;Tab1,Reactome,Interaction
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,0.9914346895074947,1,0.04919275210451909,0.15714771480259862,0.5848059070378584,37,Casp8;Nfkb1;Ube2n;Ppp2r5d;Irak4;Ecsit;Map2k1,Reactome,Interaction
REACTOME_TP53_REGULATES_METABOLIC_GENES,0.9780701754385965,1,0.050908286551510536,0.17121261381370995,0.6591668987771265,46,Cox7c;Prdx2;Ywhaz;Rheb;Prdx1;Prkab1;Ywhaq;Lamtor2;Rragc;Prkag1;Cox7b;Pten;Ywhag;Ywhae,Reactome,Interaction
