theme,pathway,label,database,contrast,NES,pval,padj,size
Endocytic uptake,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Binding & Uptake Of Ligands By Scavenger Receptors,Reactome,Disease,1.233773994142477,0.19056603773584907,0.4910205205894505,13
Endocytic uptake,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Binding & Uptake Of Ligands By Scavenger Receptors,Reactome,Transplant,-1.75809937254827,0.01096643297962165,0.10753196782795674,13
Endocytic uptake,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Binding & Uptake Of Ligands By Scavenger Receptors,Reactome,Rescue,-1.4238750207577495,0.10317460317460315,0.28529094827586204,13
Endocytic uptake,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,Disease,0.8596926975100926,0.6801470588235294,0.8369311781195149,45
Endocytic uptake,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,Transplant,-1.8130216982817895,0.00131290580897483,0.06620796436687383,45
Endocytic uptake,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,Rescue,-1.3231523723936298,0.08523908523908524,0.2466344023721073,45
Endocytic uptake,KEGG_ENDOCYTOSIS,Endocytosis,KEGG,Disease,-0.7057306180543808,0.9260042283298098,1,43
Endocytic uptake,KEGG_ENDOCYTOSIS,Endocytosis,KEGG,Transplant,-1.5949914456293757,0.00805115387887459,0.08945726532082887,42
Endocytic uptake,KEGG_ENDOCYTOSIS,Endocytosis,KEGG,Rescue,-0.9099708430736194,0.6169354838709677,0.7867294204503507,43
Mito. respiration,MITOCARTA_METABOLISM__CARBOHYDRATE_METABOLISM__TCA_ASSOCIATED,TCA Associated,MitoCarta,Disease,-0.6924804551287096,0.8343685300207039,0.953564034309376,12
Mito. respiration,MITOCARTA_METABOLISM__CARBOHYDRATE_METABOLISM__TCA_ASSOCIATED,TCA Associated,MitoCarta,Transplant,1.0093472965987316,0.4451345755693582,0.6722689075630253,12
Mito. respiration,MITOCARTA_METABOLISM__CARBOHYDRATE_METABOLISM__TCA_ASSOCIATED,TCA Associated,MitoCarta,Rescue,1.0527800594982133,0.37551020408163266,0.563265306122449,12
Mito. respiration,MITOCARTA_OXPHOS__COMPLEX_I__CI_ASSEMBLY_FACTORS,Ci Assembly Factors,MitoCarta,Disease,-1.003701683615735,0.41922290388548056,0.8384458077709611,10
Mito. respiration,MITOCARTA_OXPHOS__COMPLEX_I__CI_ASSEMBLY_FACTORS,Ci Assembly Factors,MitoCarta,Transplant,0.6815949263338457,0.8628691983122363,0.9521315291721228,11
Mito. respiration,MITOCARTA_OXPHOS__COMPLEX_I__CI_ASSEMBLY_FACTORS,Ci Assembly Factors,MitoCarta,Rescue,1.0967078059599222,0.3403361344537815,0.5348139255702281,10
Mito. respiration,MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA__TRANSLATION__MITOCHONDRIAL_RIBOSOME,Mito. Ribosome,MitoCarta,Disease,0.6967378736293705,0.9351351351351352,0.9830866807610994,55
Mito. respiration,MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA__TRANSLATION__MITOCHONDRIAL_RIBOSOME,Mito. Ribosome,MitoCarta,Transplant,1.9963047266194376,9.4297979061592e-5,0.00150876766498547,55
Mito. respiration,MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA__TRANSLATION__MITOCHONDRIAL_RIBOSOME,Mito. Ribosome,MitoCarta,Rescue,1.9404199281859391,1.8281735890548153e-4,7.541216054851113e-4,55
Mito. respiration,MITOCARTA_SMALL_MOLECULE_TRANSPORT__SLC25A_FAMILY,Slc25a Family,MitoCarta,Disease,-1.2238295986066028,0.2172043010752688,0.6318670576735093,14
Mito. respiration,MITOCARTA_SMALL_MOLECULE_TRANSPORT__SLC25A_FAMILY,Slc25a Family,MitoCarta,Transplant,1.822441130309592,0.00306580787304859,0.01635097532292585,14
Mito. respiration,MITOCARTA_SMALL_MOLECULE_TRANSPORT__SLC25A_FAMILY,Slc25a Family,MitoCarta,Rescue,2.021723844478939,6.399272642227061e-4,0.00225084504958875,14
Mito. respiration,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,Disease,-1.0745324748156435,0.29545454545454547,0.6127659574468085,161
Mito. respiration,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,Transplant,2.077494948026508,3.224693461201604e-8,1.54785286137677e-6,161
Mito. respiration,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,Rescue,2.7621128005095374,3.485197837626243e-18,1.6728949620605963e-16,161
ECM / fibrosis,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,Collagen Trimerization,Reactome,Disease,1.6019846738881136,0.02201140613434564,0.1689136166396524,12
ECM / fibrosis,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,Collagen Trimerization,Reactome,Transplant,-1.939149694358254,0.00211991261516886,0.08083312602476422,12
ECM / fibrosis,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,Collagen Trimerization,Reactome,Rescue,-2.242369420907929,1.9294954105431605e-5,0.00113518646653622,12
ECM / fibrosis,REACTOME_SYNDECAN_INTERACTIONS,Syndecan Interactions,Reactome,Disease,1.2226619441497897,0.2119460500963391,0.5159790047172945,17
ECM / fibrosis,REACTOME_SYNDECAN_INTERACTIONS,Syndecan Interactions,Reactome,Transplant,-1.5728397053498555,0.01940511272221948,0.14574478278603145,17
ECM / fibrosis,REACTOME_SYNDECAN_INTERACTIONS,Syndecan Interactions,Reactome,Rescue,-1.819018399222525,0.00485934825359241,0.02907372768674783,17
ECM / fibrosis,REACTOME_ELASTIC_FIBRE_FORMATION,Elastic Fibre Formation,Reactome,Disease,0.9676478636074952,0.49433962264150944,0.743190627202255,16
ECM / fibrosis,REACTOME_ELASTIC_FIBRE_FORMATION,Elastic Fibre Formation,Reactome,Transplant,-1.297015422171629,0.166015625,0.48836263020833337,16
ECM / fibrosis,REACTOME_ELASTIC_FIBRE_FORMATION,Elastic Fibre Formation,Reactome,Rescue,-1.7121639800030148,0.01200479210799566,0.05364166600155022,16
Hypertrophic remodeling,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,Hallmark,Disease,1.7493943983029858,6.565447461106855e-4,0.01575707390665645,94
Hypertrophic remodeling,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,Hallmark,Transplant,-1.403073053924007,0.03130501506555284,0.18110996063776433,94
Hypertrophic remodeling,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,Hallmark,Rescue,-1.7858874654605614,5.879087848251012e-4,0.00705490541790121,94
Hypertrophic remodeling,HALLMARK_MYOGENESIS,Myogenesis,Hallmark,Disease,1.6702318633865776,0.00187235110234164,0.02246821322809975,96
Hypertrophic remodeling,HALLMARK_MYOGENESIS,Myogenesis,Hallmark,Transplant,0.9440251004514584,0.5773809523809523,0.7698412698412698,96
Hypertrophic remodeling,HALLMARK_MYOGENESIS,Myogenesis,Hallmark,Rescue,-1.3622898674590946,0.0301741044315977,0.1206964177263908,96
Hypertrophic remodeling,KEGG_DILATED_CARDIOMYOPATHY,Dilated Cardiomyopathy,KEGG,Disease,1.9367670205235024,0.0011150865775578,0.0557543288778904,27
Hypertrophic remodeling,KEGG_DILATED_CARDIOMYOPATHY,Dilated Cardiomyopathy,KEGG,Transplant,1.550107826858991,0.03660005155243123,0.20333361973572908,27
Hypertrophic remodeling,KEGG_DILATED_CARDIOMYOPATHY,Dilated Cardiomyopathy,KEGG,Rescue,-1.316113147911368,0.1320754716981132,0.35696073431922487,27
Hypertrophic remodeling,KEGG_TGF_BETA_SIGNALING_PATHWAY,TGF Beta Signaling (KEGG),KEGG,Disease,1.4934029269268874,0.04829760898827167,0.2683200499348426,18
