theme,pathway,label,database,contrast,NES,pval,padj,size
Hypertrophic remodeling,KEGG_TGF_BETA_SIGNALING_PATHWAY,TGF Beta Signaling (KEGG),KEGG,Transplant,-1.2126107255523388,0.1827309236947791,0.49545408111145167,18
Hypertrophic remodeling,KEGG_TGF_BETA_SIGNALING_PATHWAY,TGF Beta Signaling (KEGG),KEGG,Rescue,-1.0559930664942148,0.3824130879345603,0.7081723850640006,18
Hypertrophic remodeling,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling (Hallmark),Hallmark,Disease,1.2555795572728303,0.16759776536312848,0.4234048809173772,24
Hypertrophic remodeling,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling (Hallmark),Hallmark,Transplant,0.5554750898452294,0.9843444227005872,0.9843444227005872,24
Hypertrophic remodeling,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling (Hallmark),Hallmark,Rescue,0.7919670392451257,0.7605042016806722,0.8691476590636253,24
Hypertrophic remodeling,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,TGF Beta Receptor Signaling Activates Smads,Reactome,Disease,1.1326161568509023,0.27893738140417457,0.5993597221142132,18
Hypertrophic remodeling,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,TGF Beta Receptor Signaling Activates Smads,Reactome,Transplant,1.1174048846558489,0.3,0.6541284624455515,18
Hypertrophic remodeling,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,TGF Beta Receptor Signaling Activates Smads,Reactome,Rescue,0.873616103427584,0.6264591439688716,0.8070805759890937,18
Proliferation,HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,Disease,-1.6051080902741226,0.00170547445568446,0.02246821322809975,104
Proliferation,HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,Transplant,1.03505139502606,0.3567251461988304,0.6585695006747638,103
Proliferation,HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,Rescue,-1.2760084277865,0.08078602620087336,0.22810172103776008,104
Proliferation,KEGG_CELL_CYCLE,Cell Cycle,KEGG,Disease,-1.6452650946421,0.00521172774818702,0.10423455496374046,41
Proliferation,KEGG_CELL_CYCLE,Cell Cycle,KEGG,Transplant,0.765162367135394,0.857976653696498,0.9516326174262266,41
Proliferation,KEGG_CELL_CYCLE,Cell Cycle,KEGG,Rescue,-0.9116824537671088,0.6053169734151329,0.7861869930835448,41
Proliferation,HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,Disease,-1.0799126345448051,0.3326226012793177,0.6170523243693975,29
Proliferation,HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,Transplant,1.481709815487806,0.05305314632900541,0.254655102379226,29
Proliferation,HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,Rescue,0.7136839450261929,0.8833333333333333,0.9497526685758916,29
Proliferation,GOSLIM_TELOMERE_ORGANIZATION,Telomere Org.,GO Slim,Disease,-1.9173157372138352,1.4671096312742456e-4,0.00190724252065651,63
Proliferation,GOSLIM_TELOMERE_ORGANIZATION,Telomere Org.,GO Slim,Transplant,0.9025480262647436,0.6283924843423799,0.8708846263956486,63
Proliferation,GOSLIM_TELOMERE_ORGANIZATION,Telomere Org.,GO Slim,Rescue,1.1231775908891908,0.2633663366336634,0.5466101694915254,64
Proliferation,HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,Disease,-1.719024014055927,4.678028679050215e-5,0.0022454537659441,177
Proliferation,HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,Transplant,1.541324228356575,0.00117825226886199,0.01131122178107519,177
Proliferation,HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,Rescue,1.2813796738738206,0.04898152578531317,0.16500920810313077,178
